Store,Analyst,Industry,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Closing,A Look At BJ's Wholesale Club (BJ) Valuation After Q1 Beat And Sharp Share Price Pullback - simplywall.st,https://news.google.com/rss/articles/CBMi5gFBVV95cUxQZ1ZlNTRGdFZGempQVFRWT0lXRmNhRUlwWU5QQ0ViZVdzbjBsaFRjaFhvd3hpOUs1Tk1CQlFTWjZfSE1XUjdiS0gycDVvMW5pdVRjaDhXMFVGeHZJWUNjU19EYktUYkRCVkY4bXZ5UzhKNWVyUDgyUUlmeE5nVlJaeVUzNFY4Szhaa3o0LWs1dTdCYlo3ekw1a3ZLZW9EeFRMQ2dLZjlsbW5TRnJnNnJWM2Q0OHZtblhCTk42bGFUQUlYUFZyRm9LSEhYOXVKR2M5T29TSVNqM3Q3dlM2TUlOZThIelR6Z9IB6wFBVV95cUxQaEFPNkhUR2dKaDlaRm5RQjRXS1M2YnhyQ29GSWZTWmN1Sk51bHA1TzJRaTRQRnVETUdmbGgyaDY3SkctamNFUGF5WUd0MW1Kb01NVlFqOENYNTBuTkNPWWxla003YmFiUlYtSjZaZVNRZ0Z5bXJwY1gwMkItTzkyUEFhZVFlR2JiYlhtcDBLMm5TWEgtU2V5Y2RkVlJNNmlScUZHVHVPdkhuSl9lNmFLeExuUUFyUTg5TjZHYkFsT01aQzBGN1JlbEhZV3J4Vkk5UmExZVgwb0gwNlpFLWZfZkEyXzM1OGxSWmxJ?oc=5,"Mon, 25 May 2026 18:36:40 GMT",A Look At BJ's Wholesale Club (BJ) Valuation After Q1 Beat And Sharp Share Price Pullback simplywall.st
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Closing,42-year-old sporting goods chain quietly closed over 175 stores - thestreet.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxPVGxjOTF6aHlib3ZYSDNBWlI4d2ZoNW9TdnVCTGZ6WGt5WF93S05faERTRE03bTVJYUR2UE9GaHR4UEd5X2tkRnc3dzZ5UkhWVVRZMFJXQWhTVl9lRWdqRFRQVlphNDA3Qnd6N3Z6SE14UGlWalI3SUYxY0l5emlZbDlwS09hVmQwQ1RPOTVnM3VYbjZMeVBubTFFSlhKSWNqcFpKaVRB?oc=5,"Mon, 25 May 2026 15:37:10 GMT",42-year-old sporting goods chain quietly closed over 175 stores thestreet.com
Dollar Tree,Ashwin Nair,Mass Merchandisers,Closing,"Discount retail giant closes 350 U.S. stores , sparing only six states - thestreet.com",https://news.google.com/rss/articles/CBMitAFBVV95cUxOZFdjOVVJakZCMXo1bVZNaWpvQ3AtcS1BaFFuWTBtRGEtOVhjTFhuekRCaHoxOGczc1JYYXdDVnJkb2x2aHdhUTRBZlRHOE5fbW8tVkNOLW12V2JneDR3VmVaY2I1S3loMEt0RlhWWGJROVB2LUtxcmR5a1hkUUU3alpqT3ZUYUZDOHhYVEdCV2JvSGNJV0NpOTE4TjhkX1ZaRTd3ZGNYNWZJNER5ckVkZng3cGg?oc=5,"Mon, 25 May 2026 15:36:09 GMT","Discount retail giant closes 350 U.S. stores , sparing only six states thestreet.com"
Autozone,Komal Agrawal,Mass Merchandisers,Closing,Motor Oil Prices Are Projected To Rise in June. Here's What Prices Look Like in May - autoevolution,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQVU1KdW16N1h0YW1lQUxXUmsxRFdDZ3M4U0FnSlNpTWEyXzI3NUNPSHhhYjBWX3Yyby1rd3diSTBPdmEzY2trNVd6TkZEUV9wekFpdDJnalk3d3VIaFhJX0RESkFHM0dsRTJ0aWdNR09pWjdEbGdtaXFuREVnRTNZYUtvd1NzazdPeTBiMThYSW44bDdqWGVRQVlndEQ4NzNKdVRSU3l5WDkzd2FaaDdZWmJ0MEZseFJPelJQR3U5dUdYbHFoSXZHeQ?oc=5,"Sun, 24 May 2026 12:17:10 GMT",Motor Oil Prices Are Projected To Rise in June. Here's What Prices Look Like in May autoevolution
Family Dollar Stores,Rishi Nagar,Mass Merchandisers,Closing,"Discount retail giant closes 350 U.S. stores , sparing only six states - thestreet.com",https://news.google.com/rss/articles/CBMitAFBVV95cUxOZFdjOVVJakZCMXo1bVZNaWpvQ3AtcS1BaFFuWTBtRGEtOVhjTFhuekRCaHoxOGczc1JYYXdDVnJkb2x2aHdhUTRBZlRHOE5fbW8tVkNOLW12V2JneDR3VmVaY2I1S3loMEt0RlhWWGJROVB2LUtxcmR5a1hkUUU3alpqT3ZUYUZDOHhYVEdCV2JvSGNJV0NpOTE4TjhkX1ZaRTd3ZGNYNWZJNER5ckVkZng3cGg?oc=5,"Mon, 25 May 2026 15:36:09 GMT","Discount retail giant closes 350 U.S. stores , sparing only six states thestreet.com"
