Store,Analyst,Industry,Type,Title,Link,Published,Summary
Academy Sports + Outdoors,Ashwin Nair,Mass Merchandisers,Opening,Academy Sports + Outdoors sets August opening for River Hills Mall store - The Kerr County Lead,https://news.google.com/rss/articles/CBMinwFBVV95cUxPQlBWVzV0Z1F5cWRkV0h1ZXplakk1MEwwNF9nb1ZmcnpxdnpQMWkteUJlMEMtYVM3Z2RyQ2hGZFUtekVMQUVzTkUtV2dSZnUtWXdCSVVVdXk0bDF0X0tIV1gwNGxRTmt1SGlKXzZVVmRrVjA1QVhlbHVjTkVLcFpYLTZiUHZhckQyWVo5Zkg5S2ZQWWl6YVNEVFVBSFMyTW8?oc=5,"Tue, 07 Jul 2026 23:15:58 GMT",Academy Sports + Outdoors sets August opening for River Hills Mall store The Kerr County Lead
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Popular Bookstore Opening New GA Location: See Where - Patch,https://news.google.com/rss/articles/CBMijgFBVV95cUxPbk01MGhIeXdSNW5ybTRiRTliZnZ5T3U4dkRwakJ0N2FSeFN3TTBWSThER2ZUeExkZ1BSYmdVS2thWjFWUnplZFUzWk9PWk44R00yMWdsVnlPLXR3SFU4RXhNaXBBZ25jSDJwZVJOYVB1ekdSY0loM21IWjk4WmZveE5DeTdINFBGVFF3UmdR0gGfAUFVX3lxTE5zQktMLTNmSTdSYko1S29PYlNlM3VSS0FQbmNhRlNtYUp5cEpycG5qREpqNWF1WFJRQldpazVLNmFmSVdsMWkyUU9mZ1puNmVlTjVYS2RBZVp0MURSMDhtSkJRQ2ZUWjc5a3A5TGhWWkgxRlZwbFJkbVdCWjBFSGRxMzNZM093bW42blZYdmVfdEp3MHcyeHVlcmgwOTZQcw?oc=5,"Tue, 07 Jul 2026 19:56:00 GMT",Popular Bookstore Opening New GA Location: See Where Patch
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Closing,Costco Reports June Sales Data — Shares Slip Despite Strong Growth - Benzinga,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOVm42NXc2OTB3Y3BDbEpoTTV5Q19kdUNBVkJVa3hidllaaUJrUGx0MWxKVWJ1dXRXYWk1SGFKM0hiSUpDRUM4RHBpQnp2U1NzQkpuTFExbHJYR05vcDFFR0hZXzczVWJvVFhlaEl0U2RiX0Y2ZDI3NWZBc1NZTC1oeWYwQmZ2VnBnU0p0dUNOQ0h2OGk0N0R0bmFmUTY2Xy1lNkxMZlJxanpqTTFpN0g1MUg0ZlRaeEtkRmhyWmJEU1BMcnc?oc=5,"Wed, 08 Jul 2026 21:05:15 GMT",Costco Reports June Sales Data — Shares Slip Despite Strong Growth Benzinga
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Closing,"Big movers after the closing bell: COST, NVCR, PNW (SP500:) - Seeking Alpha",https://news.google.com/rss/articles/CBMijgFBVV95cUxPM05DbWRCbEEzWFJhVUo4UVRuNHRGbEUyc0dTakZkWmZiVTFVNzhmeXVXS2RsQXItOGR6ODdYLURZcHk1NHl5T1lWMmZrbWQxa2RaNlZCNVlKRmVfWmQ3VFZiYUZLWDUwazJaUzZUSno4amNBV0kwdXVhclZOcWMxZVFYejlnZVE1NDFDQjh3?oc=5,"Wed, 08 Jul 2026 20:46:50 GMT","Big movers after the closing bell: COST, NVCR, PNW (SP500:) Seeking Alpha"
Walgreens,Komal Agrawal,Drug Retailers,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - AOL.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5wM3V0X2pnYVRKMlE5cVdUQS1DT192VEVkdUZkVEtmaGliYnZ3U001SmN5MjZzM3VmVExQZWpQUnpjU2VYUmx4TlVscjRzWFJadlhVUVltUHhpWjNMX2FuTlNDbVlxVEI1Y3MwSlBEUngzNzQ?oc=5,"Wed, 08 Jul 2026 22:48:27 GMT",Walgreens and 9 Other Major Stores That Are Closing in April AOL.com
Giant Eagle,Komal Agrawal,Grocery,Closing,"Columbus Giant Eagles most likely to sell in Kroger merger, per analysis - The Columbus Dispatch",https://news.google.com/rss/articles/CBMiywFBVV95cUxQbUlVSzVQbTdkZkdwazlFMHV4ellLZFg2RG9uUEZtYzljUTJFS1I5QnRDQkFmV2hqcXpiZTZfSTlJQ1VraTlVSzF3SWJrX3lTelVmWExrSDlUaTZOemtJc2xLMU1mLVJGM3VwNnBUVTd0Q0plYXpxSE9LYy1sV2Ixd0dvMUtHT3d6WmhXcWVCYnlEU2VDN2t5Y3R4cTFFMjY2RWF5TUE0RlRZcFpSRGszRk1Pb0FXQmoyMDRlUkJVR0tlaXBuQVJtT0hjbw?oc=5,"Wed, 08 Jul 2026 18:32:00 GMT","Columbus Giant Eagles most likely to sell in Kroger merger, per analysis The Columbus Dispatch"
Family Dollar Stores,Rishi Nagar,Mass Merchandisers,Closing,8 Popular Stores Closing Locations in 2026 (Is Your Favorite on the List?) - AOL.com,https://news.google.com/rss/articles/CBMihAFBVV95cUxNQV9mMUJGS2pYZDJ6QWE3YktyeVc1N2ltai1rcUJFeU1mTXpiN2ZTUWZTRFpBWGg1Nnk1R3U0MUFERjI1NHl3UmNaTWFac1oyeWZ2R2VZWGVwRlRQQ2VmR3g0Q1Y0TGlqb1JVbDhOUXc4Y25aeTdNd1BrVm5oVUFjZkc3Vjc?oc=5,"Tue, 07 Jul 2026 09:49:48 GMT",8 Popular Stores Closing Locations in 2026 (Is Your Favorite on the List?) AOL.com
HomeGoods,Bhavesh Phulwani,Mass Merchandisers,Opening,HomeGoods to open 2 new locations in July. See where - Yahoo,https://news.google.com/rss/articles/CBMijgFBVV95cUxOQW8xdHdabXhrNV9DTW9rTEE2cDRFR1l5NERBX21SY1hLbnR6dm92cC1XUTFWblJpQkJoTDFnLWxJTWctMWRkWFBZcnBSd0tMSm9QQUJhVVNzTldKXzNSQ2JhTHl2Z2oxOFc4TlZtWXlJVVpIQXZ3U2xnQTBpMHdKU1huQlJxay03cVRDTzdB?oc=5,"Tue, 07 Jul 2026 16:22:19 GMT",HomeGoods to open 2 new locations in July. See where Yahoo
Marshalls,Bhavesh Phulwani,Mass Merchandisers,Opening,"Marshalls, Home Goods Opening New Stores Nationwide Soon - AOL.com",https://news.google.com/rss/articles/CBMihAFBVV95cUxQLXdYdUcxeC03T25kRjJsa0I5S1RsUXl4RThLNGVDcGFGdFViZkEwWXhta1VZTzkxMVNxZDhmVFhSanZkVWJCSjBYYUtnM2tKc2RweDZaTHNPeUEwcFRCZVpJbDN5Um9VUmdiUkFXTVA0TGtzTVpENHdBaHpfT3BfXzFqR3Q?oc=5,"Wed, 08 Jul 2026 12:28:17 GMT","Marshalls, Home Goods Opening New Stores Nationwide Soon AOL.com"
Marshalls,Bhavesh Phulwani,Mass Merchandisers,Opening,"Marshalls opens new NY store, expanding its footprint - AOL.com",https://news.google.com/rss/articles/CBMihAFBVV95cUxQdlJlYW9pX0h0OWRHZXBnMHRPblVHV3puOElhakkwTHRsWDk0QUtjaGNienVGWFFLWkdaM3VBS0J3Ml8tMGpMdGp6STJJQUVNN1IzT1hFUzNkM1RNeDh6YnhvUDRYZGszRm9YQi1LNHBMYVJmM2FnbkVJQlJwU3dvSWtDZnc?oc=5,"Wed, 08 Jul 2026 12:09:29 GMT","Marshalls opens new NY store, expanding its footprint AOL.com"
