Store,Analyst,Industry,Type,Title,Link,Published,Summary
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Closing,Costco Wholesale Corp. Stock (US22160K1051): Food-safety scare in Japan keeps shares in focus - AD HOC NEWS,https://news.google.com/rss/articles/CBMixAFBVV95cUxPekxLbjgyLVMtMUlUdktTMXRUWDBuV0VhRlhEdll2OEZYbjdKRzFlMDJ5LUxYZ2NrNjhjbzNlMFFObzJmVW5MTXJfTThUS1JTMEktejlMQ01RT1VWOTRGanJRU0ZZYm1kTnVzOVlHbGRRS21SZ3BJSVRtYTlKNVNDZHlpOXhvQzVoS2RaX1RIMXRPX0VvclZraGpsOVdGU19qRUktcGNMSlF4NGhNbzcyUDR0MndzY0F2ekJ3NThwekt1c3dN?oc=5,"Tue, 16 Jun 2026 20:59:21 GMT",Costco Wholesale Corp. Stock (US22160K1051): Food-safety scare in Japan keeps shares in focus AD HOC NEWS
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,Dick’s Sporting Goods is partnering with another retailer to open shops within its stores - PennLive.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQdmpQc01TV0RUMHdxNV9XaGlaS1h5Z0h4d1pUcDlkRHhrbWlYbUt4SUVIZWNwQlBuYmk1VkNSNlFDTG9Nc2VtRzMyMXpGN3I1VDNyQlRXLXhjX2t3Ym1MVU5WX1pnRlN0SHhPaE1PRkpjaldxRS1UVVpzbTh6VmhGYlM1NFcxOFV0QllCU09NcW9idzRBSGRxZHpxa2R0MnFfUmJaSEgwMklBZk9idXJJaDFLOVAta1RXbmtHUmlGU0Q3WWtxTU84dFl6NjZKcjZFM2pjNkpzUDIwZw?oc=5,"Mon, 15 Jun 2026 16:02:00 GMT",Dick’s Sporting Goods is partnering with another retailer to open shops within its stores PennLive.com
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Closing,Dick’s Sporting Goods rival is closing 59 stores across 23 states after bankruptcy - New York Post,https://news.google.com/rss/articles/CBMipwFBVV95cUxNZEk5Y0RNMldrSUtvc0k4NGF2LVdLa3lHZjRBYmQ0ZEVvRHVMT0FiMTRiR0NxUG9IVFAzVFpEVEFqcjNMRTkxeHh3TFZLdnl4R2oxSWhfNjZnNy1aTFRjaHpLdnBtNllQNGlnUDc2TFR1eUdSOFc2UEM3Q3lvbEl6cy00RlBlY0NBYXd0NUhYU3VPdjZMaVNhWWU3WFBuNV85Qy1uVXBfMA?oc=5,"Tue, 16 Jun 2026 14:15:00 GMT",Dick’s Sporting Goods rival is closing 59 stores across 23 states after bankruptcy New York Post
Dollar Tree,Ashwin Nair,Mass Merchandisers,Closing,Dollar Tree Inc. Stock (US2567461080): Quarterly earnings keep discount retailer in focus - AD HOC NEWS,https://news.google.com/rss/articles/CBMixAFBVV95cUxQRllqSVMwak83MURZTndRZ1lHTWY2S2ZfQVpRNTF2SjdMcmZ5ZU1WQV92WHRSX2xSbXNaSktzQ3JMU3loWUZxbmxxWWxFTWxlZnJTMzdBYVFnZ3VIYi1lUVAtRWxNcVUzcmczbHd4NkJjdjhNZ0lJc0MzYjAxMWpIeFhYZ1MwbmFkNzU5NTdaaUJNNDBpS2Q4MUlkdUNDTFVNaWJkNGc1bkRQLWtaTlhISFRES0RNa0xMMkpmbXBleUx6UlQ5?oc=5,"Tue, 16 Jun 2026 20:02:02 GMT",Dollar Tree Inc. Stock (US2567461080): Quarterly earnings keep discount retailer in focus AD HOC NEWS
Kmart,Bhavesh Phulwani,Mass Merchandisers,Opening,Kmart unveils game-changing new store now open to Aussies - Yahoo Lifestyle Australia,https://news.google.com/rss/articles/CBMipgFBVV95cUxOdS1XZlhvc09pTHJzVlNDYWtQaktNZXpFblU0R1JkUWN2aEFDWWpNTXk5NXp5SzhKWXRnU25OX3o1cGRaUnpFNi03NnpuTm1nQUhqQnI4TXllbUZCa2hpUzU1ZFBBaE5SdjVpY0htRmUxZzcyOUNkZ3FqTTNZOU4zaUpqMVhUajZwLVU3TUxtYldCOGljS2dfY3VKR1YwWE5ySUtETTdn?oc=5,"Wed, 17 Jun 2026 06:54:00 GMT",Kmart unveils game-changing new store now open to Aussies Yahoo Lifestyle Australia
Scheels,Dhiraj Manghani,Mass Merchandisers,Closing,Alison Krauss & Union Station bring Scheels Arena crowd to church - InForum,https://news.google.com/rss/articles/CBMivAFBVV95cUxNbjVPR2NzM1VDRnlGVkl5NFpzUG5uR3ZFdHVHOWdKUGpJTWIyWnQ5d21JOXprOWpoWjRDbDQtXzR6TkhkNldsNEJVQXQ0RDVDV2N0QzJPcXNOUHk0cjJOSGgyNmxjODFONFBPVHZ3Rl9XWXB2QkhNR2E5aXhLUDlvQ1lzSjJQbDVWc1dDRS1qbHdsWHRCaWJQVUdYRmFBbFpVbjd6RFFueWk2S2Z6WVlhRWx3dGRhSGx5NHkzeQ?oc=5,"Wed, 17 Jun 2026 07:12:25 GMT",Alison Krauss & Union Station bring Scheels Arena crowd to church InForum
Domino's Pizza,Dhiraj Manghani,Restaurants,Opening,Domino’s Pizza plans for new location in southern Denton County - Cross Timbers Gazette,https://news.google.com/rss/articles/CBMirwFBVV95cUxOZU94YkRDa2dyZU9xWC1CRlc4ajU4NjNtcmpfakRrdG5kVHRRSEpVNTJFNE03MFl4eVFTcFNrbEZINVlsR1NpMVZ6N0ZrX1hSNFc4N3FRTDZ4TFM5Smlldm1xMS1YdFpWbGhZNHh1M0N4dlB4STNGX3Q0VjU0OUVjRjgxejNPb2h2Q1VGVXVZYWQyV2ptSC1wUVROMW1fVVdTWHFra21PdkJNdzJaM3Q4?oc=5,"Mon, 15 Jun 2026 17:44:34 GMT",Domino’s Pizza plans for new location in southern Denton County Cross Timbers Gazette
Target,Vishwas Shah,Mass Merchandisers,Opening,Video: Lionel Messi scores fantastic goal for Argentina vs Algeria in 2026 World Cup debut - bolavip.com,https://news.google.com/rss/articles/CBMivwFBVV95cUxNMHQ5UWx6MnpRZ0VYN21DUmR5dm5Lbi1zcVRWaTUzN3NKZEt0Sl83Q2htYzdkZllraVNDLUc3LUhEUkdMZjBCLW13MVQ5aUdpdUpod1hDcm1sSFBTc0xCUmgwa0N3MU41aHpGb1daOFFpNmM4eUY3ZDRqSmxoT3JHa1BEdnBCQWdmWHFMTDdPODA0cnVxRERLblctcDUwZnBBaC1iRFlfMFVQVjVUODU4QWhQZldzOTJmRVhGLTE0TdIBxAFBVV95cUxOLUE0MU1ZTUk1c1ZqUHkzcDlRU01HbDBZYkpIUzdGcjlBUWxjVDZlSGhYN05hOFl2cVQwMjVMSFNhUlRSM3gwdHRhZDVyQ2RlQi1KUWJyV2RpampELV8taWpXNU11VkVBaTFHZjZ0VmE5aWluVmgxNUpQR1ZteEs1SG1pWjZMSGFoY1R5MUJGd1ZRcmdQbXBZaTdocnBabWNnYnZZMzByWU81cXFHVGFWRGdsQng3U2F1Y19LNGIxNFNfczFm?oc=5,"Wed, 17 Jun 2026 01:24:39 GMT",Video: Lionel Messi scores fantastic goal for Argentina vs Algeria in 2026 World Cup debut bolavip.com
Papa John's,Vishwas Shah,Restaurants,Closing,"Papa John’s closes stores in Florida, plans to close hundreds more - WFLA",https://news.google.com/rss/articles/CBMiogFBVV95cUxOcFJtU0d5Vmd1Sk1fTkN2MndNeUhZODg3el9RQXlTeS1iTXlESVByS0lvUnZOYVJzRzFMdHdlQWp4X1oyNE45Rm53VUxsblRPdElzU29vQzBueTFlcDdTbVlFY1RXTHVpWGhuVkNJMjBtVnk3SDJYaFVTZUlrZ0tSM3ZSS3pLNkZid2toN1l3T0VjdUJ3MWxjTF9OLXhobThFMHfSAacBQVVfeXFMT1FfRnRFSWdIeEFYWlJ5cGFwWE44MFNEblVsWXhMTC1va1E0TjJqVV9DeHpHblEwVTd2T0JTODNJcXhIdUtVbmRjR0twM3dFenRhd3NuN0VLSXNQTjdTR3pDQ01oMTZfblczaVNUN2RSUXpvLUg2Z1lLQkV5SEdBUDBCa25ZZjM0aDNrWDBpWTdHSUpfMnNkT1VPd1FkdzlkRi02X09ZY0E?oc=5,"Tue, 16 Jun 2026 17:17:51 GMT","Papa John’s closes stores in Florida, plans to close hundreds more WFLA"
Papa John's,Vishwas Shah,Restaurants,Closing,A new challenge is emerging for pizza chains as Papa John’s plans hundreds of store closures - MSN,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPMVNIQVBaaGtLZFlJUGszSU1rZ3ZNN1FVLVVsNTczOS05eDY4aW9iN25hYlliS01PWDZOWXV0QnVXZUJSSHdpNEVkRkVqLUFYX2g1LURIdGxKN1lKeDNtSHAxSFhXeng2OGlPVk1mWE14YXpOOWpXLVp5R1ZmY2dXVWlvb2diSV92bUZDVXhmVkdJalFxT3I3Z1pwbDUySDFaWWFySGJaUURRcm1oU2dwTUpSemxkbWxzX3NGd3kzcHFHTGZOd2tpa2dHdmtYTGVjTUxtQXE0eHZrNnNsdld3?oc=5,"Mon, 15 Jun 2026 21:11:33 GMT",A new challenge is emerging for pizza chains as Papa John’s plans hundreds of store closures MSN
