Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Casper's Barnes & Noble Booksellers to soft open next week; grand opening planned in August - Oil City News,https://news.google.com/rss/articles/CBMi1gFBVV95cUxNNlZCcWJhTGlUbzFLZXN0Z0V0OUJvY0Z2LU1mSUhEdmtLQTRhUThMRE4zX05TT1Jza1lXQnI4MGphZnBhS3NIZS1BX3VUd3lIZmp1RUl4YVNUM2FPYW11SDdKYzlXazl2bzRjYmxaTXpldWRtY0VEendQUno1Z1R2b2J0YkthR0NINlVmS2ZsUFVYRE5ub25USndmOExzVkV5bGdnb3B2RDNDcWdwOEY2REViTXRxYUdlVHo4LUdkZ1NzNUNYQjd6TUNmUTlDTy1OcEdPbW5R?oc=5,"Tue, 30 Jun 2026 19:47:47 GMT",Casper's Barnes & Noble Booksellers to soft open next week; grand opening planned in August Oil City News
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington opening 12 stores across these 6 states in July - USA Today,https://news.google.com/rss/articles/CBMiogFBVV95cUxQdEpJUml4elNjWThjU05YLVVuVUZKdEVqTnpBRDIxOFBhNHJodDA2bkFaVDVrdGN3UmVROWZYekJOSUdYN3JNR0JYMUZZREZadG1kVU1sdEhSdkVrX1U1RXN0Y0wxNTVxRG14MTNWZ1BJMGRfeUdtdFg5RU5xcjNybV90ZGpvUkwxd2xRelpRYjJ1LVhaSTZGb1VycmFVWjk1N2c?oc=5,"Wed, 01 Jul 2026 09:08:00 GMT",Burlington opening 12 stores across these 6 states in July USA Today
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington Stores announces new Phoenix location - KTAR News 92.3 FM,https://news.google.com/rss/articles/CBMiekFVX3lxTE8wRHR3VF9XcnNiZzVGeFQ1a2JXTm1maTNkTTZOU1BJNDFuQW1UVDZobHV5TVd5ejJIcEFRU01uSjRlWW5tMG1EN1RRM0JuaTNGSWp5NXJaX3NQNzZQeHU3U05waWs0c01oV2VSbkxFTHJfaUlDYXNiZF9R?oc=5,"Mon, 29 Jun 2026 19:41:41 GMT",Burlington Stores announces new Phoenix location KTAR News 92.3 FM
dd's DISCOUNTS,Ashwin Nair,Mass Merchandisers,Closing,2 'Big 6' road closures in Bryan-College Station ahead of Fourth of July weekend - Community Impact | News,https://news.google.com/rss/articles/CBMi9gFBVV95cUxOcWN6NnoxeUdabWpyRWhKTUF2ckEwSUhQYjFVVjhqOUttNTkyTWFmaGYzYmk2a0s4S21lU3FyU1M3UURfNmdnS2x3TGtkaTNseERnbmNtWEtQSTZvX2FTZGQzcjNPR2tqcTJKNmVFbFJPZ0xDWFFtNTdhb2dHZ1cwZTJmVTcyb2QwdkJlc3JNMzBXSWlvWk0wUndELTJDX1U1SDVfSjdCTS1YNWJsQkprcFQ4NFFHbFFCV0IwNDM2NkdHN2kxRkttYThaNktDTGx4LWRTMVB2aHpFVEdSTGk4NWRYcXRwZ3ZXZTJEZkczVTZCaWtzWGc?oc=5,"Tue, 30 Jun 2026 05:00:00 GMT",2 'Big 6' road closures in Bryan-College Station ahead of Fourth of July weekend Community Impact | News
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,"Dick's Sporting Goods, Boot Barn coming to Kyle Park - Austin American-Statesman",https://news.google.com/rss/articles/CBMiqgFBVV95cUxPbW82NzFQdm1waGZqQUgzLWcxUzcySDZKNXlGNUR6LVF1LUQzalBUX3oxQ04wOE01VGd2Snd1ejhJaC1SSkdBMUgzM01YejVFX0RZVU43S2lVQm8xSk1pc2NKN1FiYnBLMkd1ZDV3QVBrWjdTdEZpQU9GT2ppMzlxQjNzXzJSYnFWQ21KeWw1WHlXOHZxRkEzU3lpaTlIZEg1TzZ2R0FHc1VZUQ?oc=5,"Tue, 30 Jun 2026 15:53:06 GMT","Dick's Sporting Goods, Boot Barn coming to Kyle Park Austin American-Statesman"
Harveys Supermarket,Komal Agrawal,Grocery,Closing,102-year-old supermarket chain quietly shut down - thestreet.com,https://news.google.com/rss/articles/CBMingFBVV95cUxNblEzUFllcUVteTI1M3U3UGlJTVRIWFU4WWVOemRxX3RQMzhaalVoSTlJU0dCWFh0Mm1KcDFibEE5clZhRlgzVXEwZ09MTmZIVmVzWlc1UThlMTVXSFVyeUxtampkWW4wY04wTUxtc0pUVkZ6RlR5c2tRVjRmaWh4aUpqNTZmNklRdmxqLWlxRHFLcFFDMzNmMG16cWNNQQ?oc=5,"Tue, 30 Jun 2026 21:13:49 GMT",102-year-old supermarket chain quietly shut down thestreet.com
Giant Eagle,Komal Agrawal,Grocery,Closing,"Giant Eagle supermarket, pharmacy on E. Broad St. in Columbus closing - AOL.com",https://news.google.com/rss/articles/CBMif0FVX3lxTE1OTUN6WlcyNTdfMmFzYXJlcjMzLW1Sb1lqU2tqNFlDOFk1eTd3SzdFN2t6RkVoeUJVZkJxcmE5cWZRQ2hXYXEyTWRpSTVVekczREluN2ZZVkYxc2Vha0NWNE1sbVNsTUZxUWFJVUZPbWJQdUJtY05XMjdfZU5uTHc?oc=5,"Tue, 30 Jun 2026 22:35:17 GMT","Giant Eagle supermarket, pharmacy on E. Broad St. in Columbus closing AOL.com"
Golf Galaxy,Bhavesh Phulwani,Mass Merchandisers,Closing,"What will be open, closed on July 4 in Pennsylvania? - ABC27",https://news.google.com/rss/articles/CBMirgFBVV95cUxPdEZ0QjZlMTc5bmpoRmt4VVBkLWNMRXhiRGMzdnFEaFM0SV9yR09LczVmOVRJVXJ5Z2FnSXM0YVdmNmN1UXJSb2dQMEFwMDU1MkFCN0dEcW1CLWZrRzRQT0NRc2RIYUh3R0IxaXRDazgwUVB3Uno4MkUzWkM0ckhiSHRCUzI2SmN0SkRXRVg5SXVIbzV1U0xhalRxMVBlemQxSVBPQnlDb3lnQVlLVHfSAa4BQVVfeXFMT3RGdEI2ZTE3OW5qaEZreFVQZC1jTEV4YkRjM3ZxRGhTNElfckdPS3M1ZjlUSVVyeWdhZ0lzNGFXZjZjdVFyUm9nUDBBcDA1NTJBQjdHRHFtQi1ma0c0UE9DUXNkSGFId0dCMWl0Q2s4MFFQd1J6ODJFM1pDNHJIYkh0QlMyNkpjdEpEV0VYOUl1SG81dVNMYWpUcTFQZXpkMUlQT0J5Q295Z0FZS1R3?oc=5,"Tue, 30 Jun 2026 08:15:00 GMT","What will be open, closed on July 4 in Pennsylvania? ABC27"
Meijer,Bhavesh Phulwani,Mass Merchandisers,Opening,A Major Midwest Grocery Chain Is Opening a New Michigan Store - WhatNow,https://news.google.com/rss/articles/CBMingFBVV95cUxOU1VWUzVWa1RQRG5KR0U2c1pmYUZtX0lQNkpPVVBtYWU2T2RONVh6aUN1TXB4c3R5TkVCOFZlVjh3YzdVT1hiek5EbF8waGdWWTBvRnZoYmxEYlNkWlNEQm11Ulpna3A3d2RGNTAyTldOS3J6dTQ1WXJ6TVhBalBFVERHazBJTmp5aF9yM1hJdjVyakY2U0ZjeUl5aXN6Zw?oc=5,"Tue, 30 Jun 2026 14:53:39 GMT",A Major Midwest Grocery Chain Is Opening a New Michigan Store WhatNow
Meijer,Bhavesh Phulwani,Mass Merchandisers,Opening,"Kroger rival putting the finishing touches on massive 75,000 square foot grocery store - the 129th location in the state - the-sun.com",https://news.google.com/rss/articles/CBMijwFBVV95cUxNNEpMVkM0RUJMdGhaVnJHdFk5dC1WRFNLRk5wR1A2U1dBSzhnYVBIY0lBc05vb0NqRUtyVWtxTjlIR1VZZFE1MDlhNXZTMkZRS0tfR0ZnZm5YZVcydlB4ZFRzUFVCdzJUNFZnRkhMbGk2N0Z5MlJxYU1wNFVPWm0zaERBS25DaVRJYXdFTlV1Zw?oc=5,"Tue, 30 Jun 2026 14:13:12 GMT","Kroger rival putting the finishing touches on massive 75,000 square foot grocery store - the 129th location in the state the-sun.com"
