Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Barnes & Noble announces Turlock grand opening date - Turlock Journal,https://news.google.com/rss/articles/CBMilwFBVV95cUxQY2VQR3FQLTdjaU1IR2VoVDZ3eFQxSlZ4WERCdWpGUXhxVWs0WHJqTkw1a0FFQVNpM1VDWmlXOGVSVExzc3JnQWJ4VEVtUU50dFdJMm9GNWFSUjFTRVByTWVDc09uNmR1eDhtWHF4alRLOVVscm1ibEVOMEx5Y3VxSXV3Z1lERGNyN0RNWTBoVENjcEUwVU5n?oc=5,"Sat, 06 Jun 2026 07:00:00 GMT",Barnes & Noble announces Turlock grand opening date Turlock Journal
Walgreens,Komal Agrawal,Drug Retailers,Closing,"South Side Walgreens closing, prompting outcry over pharmacy desert fears - WGN-TV",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOVVNsSG1tMXJSYVJPRks5aktmZzM0eUI5TXBkRlIxMW9fU0phUmFLQlh2cTVkU1Y5c1pxVXJKWnkwZjRBQUdJUFl0SUpPaW9oY3lTODctOER4c0Q1TTQzZzVUaVE0Zk92MXh0M3FjeEdvaHJjcVVqWVVncUJrdmFnbWQtMGpRRTdzc0ttTVdYOUFSTU9HWUFIVURGR3VZcW5KTGUtYkVJMGZKdw?oc=5,"Sat, 06 Jun 2026 21:33:14 GMT","South Side Walgreens closing, prompting outcry over pharmacy desert fears WGN-TV"
Hy-Vee,Komal Agrawal,Grocery,Opening,"Expect a mini heat wave in the week ahead, along with more chances of rain and thunderstorms - KSNB",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOcmdJRDFvT1U3bE1wVTdNdTRYZl9tUFRrRktKS3lTYi05aHJHUnNhRDdCVG0xX25PN2ZsN0kyQzc5cnI0VzJUWXl0bWdKTURQRGlxRGh6Z1VJbWdVOTRTSDZRQURVcG01d3ZoTVNwTEYzN3gyeWVDWmIzbGNrSkZsSVprd2VPblNPd01iSzZyZTd2QU1ZaV80ZXFJdmxYSzU3OVB5dlY1eVVyWUZiUy1xbjJWSDRIZzBsRVZpamhyUEtXMnhFcERyRNIByAFBVV95cUxOcmdJRDFvT1U3bE1wVTdNdTRYZl9tUFRrRktKS3lTYi05aHJHUnNhRDdCVG0xX25PN2ZsN0kyQzc5cnI0VzJUWXl0bWdKTURQRGlxRGh6Z1VJbWdVOTRTSDZRQURVcG01d3ZoTVNwTEYzN3gyeWVDWmIzbGNrSkZsSVprd2VPblNPd01iSzZyZTd2QU1ZaV80ZXFJdmxYSzU3OVB5dlY1eVVyWUZiUy1xbjJWSDRIZzBsRVZpamhyUEtXMnhFcERyRA?oc=5,"Sun, 07 Jun 2026 01:14:33 GMT","Expect a mini heat wave in the week ahead, along with more chances of rain and thunderstorms KSNB"
H-E-B,Komal Agrawal,Grocery,Closing,H-E-B closing longtime Texas store sparks shopper concerns over rising grocery changes. More closures coming? - MSN,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPVEk2b1Ywa2JtUFVxcVNMeHF0OHRfWGVDUmU0UGM2aU5EM2h6dGd1enduQUVzQ3VKUmhEcTNsN2M3cDB1TWFzc3VkTFhiUHFZZlJjVXNfbDdaTkx4OWJPc1RkcVRSTlhPakhnaERPeWN5RHZCM0Z3MTFPZXg2d19WYTNGb0J3eC1zN2c4SVVEVzQ0VExXZ1NWQlJ2Unpzci1JbUhEZUNVWm43cWdwbGc0ZXBpOTlBeG9UYWVHbnFFUWZydVE5bk9hT2hkdzFZemhQQlc2QzhDSkFQRWY5TEpheDZYSnE3dWVZckxCYjd1bEZsR0k?oc=5,"Sun, 07 Jun 2026 06:29:21 GMT",H-E-B closing longtime Texas store sparks shopper concerns over rising grocery changes. More closures coming? MSN
Lowe's,Rahul Vasaya,Mass Merchandisers,Opening,Murfreesboro south side may gain 'great opportunity' with 2nd Lowe's - Yahoo,https://news.google.com/rss/articles/CBMijwFBVV95cUxOSUM4REp1RjY1V3RnV2J6OW9uRks0cXpucURqYV9qTmFtNUM3T1RTLTh3LV9rQjRCenlxeHU0WTY3aGNuOXFGWUxtSDQybFNLdWdXODVQZXhpNnIwNzBSTElObTdUaGVvMmZGTXBhRkp0WXVOT0ZwVmc0WUFPY19Da29kTFBrMFNuUUtPNGtSUQ?oc=5,"Mon, 08 Jun 2026 10:02:57 GMT",Murfreesboro south side may gain 'great opportunity' with 2nd Lowe's Yahoo
Chick-fil-a,Rahul Vasaya,Restaurants,Opening,New Chick-fil-A opening in Gretna next week - WWLTV.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNQlRZWll4R2p6bVAtenVwdDVnLWc4c2xybjZNMVZabThhU3prTnRGVWZWVmlZYXMzbFZvVVl2RUFvakp1S3NzY3Jldy1UQllYTXBad2NtQllSSmNLU0tzZnU4OHByUlE3WGZNcDRwcXFRNkdXY05XYWJubEFyRUJJUEVyamN6N2I3OFFLWUhORWZYaDRBdzFOZDRLTzdmR05rWDZ6eGdueE1laHI0OHVjSjFqMF9TaE0zVzJUNHZzSjFVX3RYNlEzYWIyZW5lSVox?oc=5,"Sat, 06 Jun 2026 12:47:00 GMT",New Chick-fil-A opening in Gretna next week WWLTV.com
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Opening,Sam's Club raises membership rates. Does it affect new Lebanon store? - The Tennessean,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNLW93dG9rVDFfeHB0clZsWXp1UW5jOXRyeUJIMHFvSXFfYjVkcllWWDYyMUlmWWhiNy0teTEyWFUwaVcwekU4SmoycFE1cmFQVlg5ZnJXWi1KeWw2MVBPUWhzTk83UkUtMy0yQzFRQmtRWU5mOU5wcU1ENzA4RjBicEJGUG5aNFc1cFFZeEh5clYycWU2VFB1VHdNX3htMWY4WW1wR2RpT1dEQ2RwTXMzaVA5S09fZW1nMk9ydFJGWUY2NkIyZmZJbA?oc=5,"Mon, 08 Jun 2026 10:02:00 GMT",Sam's Club raises membership rates. Does it affect new Lebanon store? The Tennessean
CVS,Dhiraj Manghani,Drug Retailers,Opening,New Goodwill 'superstore' location unveiled after Bay Area opening broke records - SFGATE,https://news.google.com/rss/articles/CBMihgFBVV95cUxOR3RJVURIUXNDc1I0Zi10dHdfLXh0ZVVaR0dQR3VseDZUMFRVM1NZRDhnTjRoYjFpYzUyYWZSZWtwWW1kV1JGVmpPVV9YdlVtYXdXNHlUeXJCNVBXcjE4T2c1XzNUaktYNm93YVV0dXBITXAwRUlUMXluRE9DTTRjcVpsR1N4Zw?oc=5,"Sun, 07 Jun 2026 23:19:13 GMT",New Goodwill 'superstore' location unveiled after Bay Area opening broke records SFGATE
Target,Vishwas Shah,Mass Merchandisers,Closing,Prediction: Oklahoma to land touted OL target closing in on a decision - On3,https://news.google.com/rss/articles/CBMipAFBVV95cUxPaUtTVVVQaVdSSTlUN29xVl9XX3dRX1M0N2dIN0RnbjBlb2lPbE9ZZ2swM0pxbXJ5WGtWNG5NY1psT0tyUW93QXh0Y190R2xHN0pWOHNDVW9ReTNIWEJpSEZHNjJVTnZ3emlxd3lFbjZ1WTVUaWh3S1czRklQSDNJeDBNQlFBdjg3V1RrWDQ3YlJwR3RZX0dLeVlzcktpOC00R09xSQ?oc=5,"Mon, 08 Jun 2026 07:43:59 GMT",Prediction: Oklahoma to land touted OL target closing in on a decision On3
Papa John's,Vishwas Shah,Restaurants,Closing,Chain restaurants are closing hundreds of locations across the US in 2026. See the list. - Business Insider,https://news.google.com/rss/articles/CBMifEFVX3lxTE13UXZtQmpDa2FmNnNncWk0ZTczN2hhYlV4dXFHU2pWd1BKT01mcktHV2JSSUNyMGxCN1dTdWpWbjZ0UmpWaVZNaXhSS09Bc3ZaU3g5aElESGhSeUNnTHJOUzlOd0JsU1B5SnFiOHh1S3dWWDZ5cnNqUE4ydFA?oc=5,"Sat, 06 Jun 2026 13:28:00 GMT",Chain restaurants are closing hundreds of locations across the US in 2026. See the list. Business Insider
