Store,Analyst,Industry,Type,Title,Link,Published,Summary
Dollar Tree,Parth Chelani,Mass Merchandisers,Closing,"Discount chain shuts 75 locations, calls its stores ‘substandard’ - thestreet.com",https://news.google.com/rss/articles/CBMilgFBVV95cUxNR3hUMTFndTllY2dWZTVfMTBmVFBnWUxlLTlNOGw5aE9oSmR2b1EwZkdUUGwxWm55RTU0anFTVlRnV0RRT3FYVGdMZ1lFLWxselVNMEp0YnFSbUVKcXpMcmZMeXJyWkxDcXM3VFhwRjEtLW5tQWNUdVVmSmRRbXQtRV9TSnJEWWFINjc0NkJWQ2xpdVctYVE?oc=5,"Wed, 22 Jul 2026 14:31:51 GMT","Discount chain shuts 75 locations, calls its stores ‘substandard’ thestreet.com"
Dollar Tree,Parth Chelani,Mass Merchandisers,Closing,Some Massachusetts Dollar Tree Locations Could Close This Year - 1420 WBSM,https://news.google.com/rss/articles/CBMiakFVX3lxTE04Ym9yTXhkQ0NCVWhDc2tqWFhNYXQ4aXYxR1VGdjMyWjdwc1NRT0k1MjRWdjctZ3pBdzNiQ2ZmaWJJTzhhOHE3TEpxNmlUbFVDalRYUWtxN2E2S21KRDVyYW5aMzhidlRXa1E?oc=5,"Wed, 22 Jul 2026 08:31:40 GMT",Some Massachusetts Dollar Tree Locations Could Close This Year 1420 WBSM
Dollar Tree,Parth Chelani,Mass Merchandisers,Closing,Dollar Tree (DLTR) Plans 75 Store Closures And 400 Openings In 2026 - Yahoo Finance,https://news.google.com/rss/articles/CBMilAFBVV95cUxPRk9hWTYzTkQxLXdra1J6RDNWT0VrSUp0MEVvelJMQVZjSGptMzhvdXFSWkNFcTJ1UGxHZ2w4cXh3NlRNR2ZhLUVjd185R0U3Y0M4WDJ2U05uN1ZidGthdkhLMFgwSDBIMzNPRkpaUEExZmNZbGE3UGxFVVRlNkZKdkRGVVd5RWlNR0lvWnpSZnljWVpl?oc=5,"Thu, 23 Jul 2026 09:14:49 GMT",Dollar Tree (DLTR) Plans 75 Store Closures And 400 Openings In 2026 Yahoo Finance
Kohl's,Bhavesh Phulwani,Mass Merchandisers,Opening,Man accused of stalking woman from Kohl's and trying to break into her Maryland home - WSMH,https://news.google.com/rss/articles/CBMioAJBVV95cUxOY3puM1ZpdVBoYW1SX0NiOUtPUnRBRTFqRU1td2VxZWhxVTE3RE9NX19xd2NlbE16Wkx1bDJDSDRsakxpQUZQM2ppVTB3cHpnREpoT1Jma3J1NEJVMmgydkNLQlZYcTNlb2NBT2JkVllzSW5yWER4SHBTNFpZSEpfQ1VLNnZWSW03TDktZFFZb09PaHpocWwydXN3aHdUdWFlSEx0aFRKdU9pSkRXTHkzTW5SMDE4VDZUeDhETEdmS21zVmN2VGRlc2VqV1RjUTFmbkFEdGtvRm8yZUxJNnoyZmNPTGNrdTlVRmVLTkRJN1VyX2tIdWVQMkdzeS1ldVpyaFRxZmpuR1dCdmVtZ28zRjlSOHN0NTlFZ1FhNmhKbDk?oc=5,"Wed, 22 Jul 2026 07:00:00 GMT",Man accused of stalking woman from Kohl's and trying to break into her Maryland home WSMH
Seafood City,Bhavesh Phulwani,Grocery,Opening,"Seafood City debuts first Arizona store with live seafood wall, 300-seat food hall - The Business Journals",https://news.google.com/rss/articles/CBMiqwFBVV95cUxPM3JQVkJoeXZsYS16WlhTQWpVUENIektWNE84eHRWNmVfQldzZFJUOGtWbjRESzhPQ002NE5Ub0FDTHBMdi01c1dKR2RnOEZTaUNqU2lEeFJibnZDdEU5Y3lEaVVMdWtrMnBYZDJxR0JaSGRwUkdPclZyam02aHZSMUE1Ml84djlzN3pDYjBsT3g2V2ppazJZLVRyR2hSbWpfVEdab1Zkc1BnUW8?oc=5,"Wed, 22 Jul 2026 21:22:00 GMT","Seafood City debuts first Arizona store with live seafood wall, 300-seat food hall The Business Journals"
REI,Dhiraj Manghani,Mass Merchandisers,Closing,REI To Shutter Boston Landmark Center Store Amid Nationwide Closures - Boston's ROCK 92.9,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOdkxNcno3N0pucDZKNVA4WjVJck1EVUs5blNHQnJka3dsbU8wOVBzME8wLUtfNHlIRjlnSnIzQjVETTZodEJtSHUwMFl4ZTE5WTU2QWloeHpKcU5TUVVtbWtWTFpKc2Q2WGVLLXZ6eFd6bkNRVFpDZ1lFNkJNSFdqWWRyc1NOQzJRdmpCOEQ0aDNORG1ZZjdaWGRPQ3UzVG1EUUJ0djZNbnI?oc=5,"Wed, 22 Jul 2026 11:24:00 GMT",REI To Shutter Boston Landmark Center Store Amid Nationwide Closures Boston's ROCK 92.9
REI,Dhiraj Manghani,Mass Merchandisers,Closing,The Finals Days of the Soho REI - Curbed,https://news.google.com/rss/articles/CBMihwFBVV95cUxOOXNtNF9iNUE3SUEtUEJUa2dOamM2ak5WZ014TEdoNEFIOWoya0tjaTU0dEg5NHcxdVMweUF3QWkxcjhWczlGRWhyR25KVjNKZWp0YTRvdGtuRm54TkE3OHBkYy1sVFcxdEo0aUVjdllQMllRdnc4Nm9zbWI5WG1jZWhYUVg5b1k?oc=5,"Thu, 23 Jul 2026 11:00:31 GMT",The Finals Days of the Soho REI Curbed
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Opening,Costco rival targets Texas suburb with massive $49M warehouse - MySA,https://news.google.com/rss/articles/CBMiiwFBVV95cUxQdjhqRG9CSlQ3SDJZWG94SEZ3MEdHcUZFQ0lUQ0l0QWZWQ2hRZE0xa3BCSXZSN3RWVlVRRDV4Zk5rS1Q0bzU5aGVpRjZwTy1PdUVQc0ZVWHA4MWo0UkNiYkYxZExGblRtLU44V092MUFqaHMxcC1WOHhFY01ZSGc1SDJoZjRWYkhkd05J?oc=5,"Thu, 23 Jul 2026 11:39:15 GMT",Costco rival targets Texas suburb with massive $49M warehouse MySA
Staples,Dhiraj Manghani,Mass Merchandisers,Closing,The slow disappearance of Staples: 2 more stores go dark this August - PennLive.com,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOdHdDVndZWDlIUDRGa19ZMXM1QUxKZlJGOEpnVzlRcHFRQVNOWk1HcEJGMlVlcTQxYXlWTko4eUcxMmFuZWpGejNIWkxqSldyd01ZZkVnc1BtaDFmdEJPX21iZ041SkIzallVUGhpdWxKWklwX2gzM3pUdFFrTmt0MnI0WlVnbHZOSlVkWGpfeXhvcWo4UVlaWm5vSmRHMXpvMjhVR3BNYjNTcTZIMzJ3bWFoeW0zQlda?oc=5,"Wed, 22 Jul 2026 15:05:00 GMT",The slow disappearance of Staples: 2 more stores go dark this August PennLive.com
T.J. Maxx,Dhiraj Manghani,Mass Merchandisers,Opening,Outdoor retailer sets opening date for Beavercreek store - Yahoo,https://news.google.com/rss/articles/CBMikgFBVV95cUxOX1UtaFFQQWQ2WHZaWTFMbmM1Wm9pZ3RQYzNfczR0d3BzVGpYaU1oVHhQNU5RbDg5SzFLTXBfMmpXcXBEVG1sSU51STFYNjItRWNrMVZ5d29PbUxBcFZGMVY4dUZpQXBxUU1tVHIxSklDeGVJV2t2bnRhcVcwWjczSHRHOF9NSG12c0w0eW9KYkxNUQ?oc=5,"Wed, 22 Jul 2026 19:08:02 GMT",Outdoor retailer sets opening date for Beavercreek store Yahoo
