Store,Analyst,Industry,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ's Wholesale Club expands with new store planned for SW Ocala - AOL.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxOVzlObFQ4YWw5YW1LY3VuWk1RT2NRUkRJMUJXMk9rV3VWem13U1BfamcxemprYWZaQzk0NldqX3Fldk56dy00c2hvV0tCc0lvb3hhTUR1WnU5aTI4cVBPMkJUV2d1X0Y1YXRmSWhOODFmQ21sbm4wc09xSHlsTEY0TzNJbTMzcEFhbkhadi1R?oc=5,"Thu, 18 Jun 2026 19:57:21 GMT",BJ's Wholesale Club expands with new store planned for SW Ocala AOL.com
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club uses tariff refunds to cut prices - Yahoo Finance,https://news.google.com/rss/articles/CBMimgFBVV95cUxPQmpkdHV6NEgyNXo2N3hmNzJzdXdUbXYyQThBSWYzclhGcE1IVTVEaTJFZ2hYWUhxSkkzQl9lMmhEeGVPSElRNFBzNWw1eWpwVm0wNGlXUnVtT0xZVTl4TGV4Rk1IbUYzQkQxdVloS2JVTGNHYWpnbV9lV2FubnhwaHE1SlNMWHA5Z3RmOTdYZ0ZraWE3bWlsY2d3?oc=5,"Thu, 18 Jun 2026 12:59:00 GMT",BJ’s Wholesale Club uses tariff refunds to cut prices Yahoo Finance
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington Launches State-of-the-art Distribution Center to Support Heady Growth - WWD,https://news.google.com/rss/articles/CBMiogFBVV95cUxNS2wzSURxRlhVUWZCZ25BOUpfM2lpMEV4N01pSHk4MHlmeE9XOEt3S3pZYXQ1ZjROcGFwYzJoWXhJM2pxU0diSUctUjhhR3NMY3lCUkRqRURzN2V2MHlwOTZBRlF0Tmh4M2V5bUVtU1o5Yk5aYkczX0MyZjFueU03YXhiaHFnVUJGZGZ1WjBBTVBXcWVpLURKbEZsdHZVR3lPMkE?oc=5,"Thu, 18 Jun 2026 18:54:23 GMT",Burlington Launches State-of-the-art Distribution Center to Support Heady Growth WWD
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington Set to Open New Buena Park Store at Marketplace on Lincoln Avenue - WhatNow,https://news.google.com/rss/articles/CBMiugFBVV95cUxNT1NwaFJjeXp3VWE0a0p3QUZzTnpjWmRiU05NcVFZazk5YmI5amcwQzZteHFPVWFfc3pSNFd1TG03eGJtVmJCUGNVU2RSUkEyQ3ZGT0JOQnhZM2ljY0N2T1RranBScFJVQk5ON1FFTTBab2VYS0Y0UFBEQWtaalRUb0NNQVdBd3F1azVWcDdsVWs3cGIxYVVMbmItUGtVVzhaM1lQQmROeU1IN0VCcUNicVJuS2NPUjJkSWc?oc=5,"Fri, 19 Jun 2026 23:35:38 GMT",Burlington Set to Open New Buena Park Store at Marketplace on Lincoln Avenue WhatNow
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,Dick’s Sporting Goods Plans New Location In Forney - WhatNow,https://news.google.com/rss/articles/CBMijAFBVV95cUxNZnZXUzBrb25GdlFCVlZ6d1YybEptb29ueFpCUUN0ZENUemd2M0pIcWxDQ3Q2SFhJQlJxWVA1enRsYmVMbFItLTA2Vk5pZXpNVmVtaC1jMkJFTG5PYmZCUG1SSVdNS08tU2hSXzQwNDdvRmRpRm9tTm9JeThMQ3VvMk1EaFgyN0R1cFJlSw?oc=5,"Thu, 18 Jun 2026 22:02:18 GMT",Dick’s Sporting Goods Plans New Location In Forney WhatNow
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,Dick’s Sporting Goods Plans Major South Portland Expansion Plus New Digs In Augusta - The Maine Wire,https://news.google.com/rss/articles/CBMivAFBVV95cUxOQm01Z0xUT3FYcHhjRFY5NjNvMHpCVHJFMm5hYk5QcUJkOWdWbEtiMnBZbGFndi1Cb3hnWGprd1FSRGMzdWoxdkpVc1hhNC13UjI5YklsVkMyYzFoVENMN0locVhzdUZuUGY4NERrZ0ZMemZLMDNPRkJCWThHV1ZwYkxrUFVoOU5YekVMZW1qbW1Bbjh2M0FiY3Q5Z0NXaWpZc0JhandXU1BhZUMzejdNY2dmZlZQOUE5Q081RA?oc=5,"Thu, 18 Jun 2026 15:41:40 GMT",Dick’s Sporting Goods Plans Major South Portland Expansion Plus New Digs In Augusta The Maine Wire
Harveys Supermarket,Komal Agrawal,Grocery,Opening,Winn-Dixie to open new Jacksonville store with giveaways - The Florida Times-Union,https://news.google.com/rss/articles/CBMirAFBVV95cUxOMG1JTEFiSnFlSEhBRFo0U3QtZ1ZIVXkydlN0ZG9BTEQ5d2VGM1RrRElNMlRBblJqT3FjbHAxTVF6Ym40NmJKTHlNaVFTdWVIT09oVnFnZUdFemtkckxWbm5fQU5iZWh3UnVmU0NjdG9ETVExYWJ0Y3FYZjRERDZ6TW1YMHZMRFJGUU50Vmh6T0FNOUVXTlpBMTVRSFpHcWZJVjl4aGk4LThfZ0Nx?oc=5,"Thu, 18 Jun 2026 18:38:03 GMT",Winn-Dixie to open new Jacksonville store with giveaways The Florida Times-Union
Hornbacher's,Komal Agrawal,Grocery,Closing,Hornbacher’s Express on South University Drive in Fargo Closing Down Today - knoxradio.com,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNVHV4VGVnY0tOTGFOc0hIT0lRenhiSEF4VVhvWFd1RkI2TEE3NllpX2I3M0RuNEgxWnQwanQ4NE40N2ZIeUxLV2VFRzQzMXNfNGlMWmJGSDBZUDdwYktkS1VMbFpKQUx3VmZjVGNXaDJiTWZmR1M4ZE0xdEs5ZmFrTEVfMWlOYVl6?oc=5,"Thu, 18 Jun 2026 13:36:09 GMT",Hornbacher’s Express on South University Drive in Fargo Closing Down Today knoxradio.com
Giant Eagle,Komal Agrawal,Grocery,Closing,95-year-old beloved supermarket chain closes longtime stores - thestreet.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxQUTl1WFdUZU16bjBCZU9uSk1SNkZORURxdDhWclFUTTJVVG9KRVFNRXdSVXM3NGZDNWhaXzdhM0FnVFoyY3k0d2Q1RERZbnVUSmpNUnJidkExaUx4dFBjV3FPQURycHhwcWxWUjhOQVFoNGlLX2JYOHpqZ2pQSWdwWXlJeWptUENuNnFXYjdHYXM2Q0ZMY1ZlMW5zbW8?oc=5,"Fri, 19 Jun 2026 21:27:28 GMT",95-year-old beloved supermarket chain closes longtime stores thestreet.com
Giant Food,Komal Agrawal,Grocery,Closing,Live Mice & Gnawed Food Bags Shutters Dumpling Time the Same Day - Hoodline,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPS1NYSnpxaF9zSFcwR0JXN19icmlETktWRXBpM2NqUlBCZVJZQW5HYVNoMXJsYmdTSjcweThHQVZPY2tUUmliWE54WUl0S1NJbldjYXVYcEdRdWtLVUc2MHQ0ZnRaRDdILXZ2SDhPZlB6RXNTNkFBa05wdzhoSDh5R3pQaHZSYXI1NGhfSnhtS3pOWWtGS0NNQ3BXTkRWWkJPWmpmVTlUSS10RnN1b0IzTW1ZUlo3Umh5cWRkeDlYZnJGS1ptM0MwQkxvMk0xT2xhUWNzajRzcnY?oc=5,"Thu, 18 Jun 2026 14:46:08 GMT",Live Mice & Gnawed Food Bags Shutters Dumpling Time the Same Day Hoodline
