Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,A new Barnes & Noble in Edgewood shows growing demand for bookstores - WABE,https://news.google.com/rss/articles/CBMilwFBVV95cUxPb2tJNnZocnc4U0Q2UDItMnlwclhMRU9LSjVDNHJ6dHVRamxVNUgwclBuOS1Ba1JnN3FZZFVHSTNHa1JPQi1KcWRSZUpnQ2FfOExYaXhORnF6TVIzbW9ncmp0Q1VMdlBURm9hSXhmNG4yOEpocWpNalA2cUNyLWFlaDRVdW16TmtYcGE3LXk1YUV6WllJYzdF?oc=5,"Thu, 09 Jul 2026 19:16:19 GMT",A new Barnes & Noble in Edgewood shows growing demand for bookstores WABE
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WLBT,https://news.google.com/rss/articles/CBMinwFBVV95cUxNc0o2Qy1YaXZYNGFRbjAzUXlCN3hpZ1N4ck5rY0RkMWZETEp4MEtyVXdEOHlvOEg1ZG9BdFZrcnItdzAyb2p2VHM2bUpyOG5MMjNvd0d0UnZ6eF9xa3FxLVVrOE9yTHhtZjVITFFreGticHd5V0JMWDFwVFltNjdaMmtvTVlIVGNtUEVfN1Mzd2k4emVwVmx4TllJUGQwMk0?oc=5,"Thu, 09 Jul 2026 21:14:16 GMT",BJ’s Wholesale Club expected to open South Mississippi location WLBT
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WLOX,https://news.google.com/rss/articles/CBMiswFBVV95cUxPZko3TXlCSVR5bXNnNmp4LWRDLWw5aU1ld2loN2d0OUFpcXJTTlc0WUJBdExIcmVSV21JeE9kNm1LbGNxdU1SLXRpOEN4UTBWMmdDY25wOGs3cndQVXJFMzJqVlE3Vk5ocS1kZE1rTGxyZEpZbXBtNlZiX1Rzc3R5N0dKVk5RNzNvVUE4YnJLVTFyZlhkcXNMMXhKbWhFTVhOdDkxSnNqMXZvYmZTR1EtdWNaMA?oc=5,"Thu, 09 Jul 2026 16:35:33 GMT",BJ’s Wholesale Club expected to open South Mississippi location WLOX
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club expected to open South Mississippi location - WDAM-TV,https://news.google.com/rss/articles/CBMinwFBVV95cUxNLXRMei01c0gwUTA5M0JzWnQ2YTZiVGNnYldEbTVadW9qYlNkNHNQaEpQNVBSa0l0UXQxLU45V1ZkcmVIanQ1akIxTTlHNHA0RmluWjlVWk52TG5ONS1ZUl8yZ3FDb2dGNXRUeHRYc0pCU3ExRUtzQ1FzenJhVGhGQkhIYTFuQUJDdVpRWUo1NnR6OGJodmYwaWVjRHk2elU?oc=5,"Thu, 09 Jul 2026 02:08:52 GMT",BJ’s Wholesale Club expected to open South Mississippi location WDAM-TV
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Closing,Costco Reports June Sales Data — Shares Slip Despite Strong Growth - Costco Wholesale (NASDAQ:COST) - Benzinga,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOVm42NXc2OTB3Y3BDbEpoTTV5Q19kdUNBVkJVa3hidllaaUJrUGx0MWxKVWJ1dXRXYWk1SGFKM0hiSUpDRUM4RHBpQnp2U1NzQkpuTFExbHJYR05vcDFFR0hZXzczVWJvVFhlaEl0U2RiX0Y2ZDI3NWZBc1NZTC1oeWYwQmZ2VnBnU0p0dUNOQ0h2OGk0N0R0bmFmUTY2Xy1lNkxMZlJxanpqTTFpN0g1MUg0ZlRaeEtkRmhyWmJEU1BMcnc?oc=5,"Wed, 08 Jul 2026 21:05:15 GMT",Costco Reports June Sales Data — Shares Slip Despite Strong Growth - Costco Wholesale (NASDAQ:COST) Benzinga
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Closing,"Big movers after the closing bell: COST, NVCR, PNW (SP500:) - Seeking Alpha",https://news.google.com/rss/articles/CBMijgFBVV95cUxPM05DbWRCbEEzWFJhVUo4UVRuNHRGbEUyc0dTakZkWmZiVTFVNzhmeXVXS2RsQXItOGR6ODdYLURZcHk1NHl5T1lWMmZrbWQxa2RaNlZCNVlKRmVfWmQ3VFZiYUZLWDUwazJaUzZUSno4amNBV0kwdXVhclZOcWMxZVFYejlnZVE1NDFDQjh3?oc=5,"Wed, 08 Jul 2026 20:46:50 GMT","Big movers after the closing bell: COST, NVCR, PNW (SP500:) Seeking Alpha"
Autozone,Komal Agrawal,Mass Merchandisers,Closing,AutoZone to Issue $850 Million 4.950% Notes Due 2031 Under Underwriting Agreement - TradingView,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQYVFZYTRxZE9CaDY2NkJHSVJ6YXpFOGVuWTVqYUZEZDhQcS1yN25iblppa3ByeWJCU3I4UU5NVWFCUFF6QmlhUHlOa2NUNHlOUkpJUkNGbGUzbk4yTWRlVmE5UHJ5UC1XUmpWTXB4QzhyUHhrTUl1aXJTeFZrRnVkOEhWSWRiYWhzNTgxYWtPVFJYaHg0ZW9XR1NUZ25QTXcxWUxYRGplZG1VaGp3Z2VRZXlwS0V0MmxWUmhwUEx6VEJNZm5kUzd3emF3VEFQSm91SWZWSEFrejU?oc=5,"Thu, 09 Jul 2026 21:23:00 GMT",AutoZone to Issue $850 Million 4.950% Notes Due 2031 Under Underwriting Agreement TradingView
Autozone,Komal Agrawal,Mass Merchandisers,Closing,AutoZone (AZO) Announces $850 Million Notes Offering - GuruFocus,https://news.google.com/rss/articles/CBMikgFBVV95cUxPTFFNOUROWU9pel8ybG5EZ2xyS2ZTaVQxTVQ3eXRxMy1wWkl6dlpkMmVvMl84R1V4MkU1R0N0SWdTeW9scGsydjRueGg3SUZJNmQ0bzVvWlQxWHQ0NGRHTU5heWxiQjRtUDFlSjlEbU5QTmNRRGNBMm05VkhHc2l2VjBUZ1dWc1c0TUFKekNzR0VpUQ?oc=5,"Fri, 10 Jul 2026 00:03:37 GMT",AutoZone (AZO) Announces $850 Million Notes Offering GuruFocus
Walgreens,Komal Agrawal,Drug Retailers,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - AOL.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5wM3V0X2pnYVRKMlE5cVdUQS1DT192VEVkdUZkVEtmaGliYnZ3U001SmN5MjZzM3VmVExQZWpQUnpjU2VYUmx4TlVscjRzWFJadlhVUVltUHhpWjNMX2FuTlNDbVlxVEI1Y3MwSlBEUngzNzQ?oc=5,"Thu, 09 Jul 2026 23:00:47 GMT",Walgreens and 9 Other Major Stores That Are Closing in April AOL.com
Giant Eagle,Komal Agrawal,Grocery,Closing,"Columbus Giant Eagles most likely to sell in Kroger merger, per analysis - The Columbus Dispatch",https://news.google.com/rss/articles/CBMiywFBVV95cUxQbUlVSzVQbTdkZkdwazlFMHV4ellLZFg2RG9uUEZtYzljUTJFS1I5QnRDQkFmV2hqcXpiZTZfSTlJQ1VraTlVSzF3SWJrX3lTelVmWExrSDlUaTZOemtJc2xLMU1mLVJGM3VwNnBUVTd0Q0plYXpxSE9LYy1sV2Ixd0dvMUtHT3d6WmhXcWVCYnlEU2VDN2t5Y3R4cTFFMjY2RWF5TUE0RlRZcFpSRGszRk1Pb0FXQmoyMDRlUkJVR0tlaXBuQVJtT0hjbw?oc=5,"Wed, 08 Jul 2026 18:32:00 GMT","Columbus Giant Eagles most likely to sell in Kroger merger, per analysis The Columbus Dispatch"
