heading,date,link,Date_Appended
GLASTONBURY SCOOP: Shah's Halal Food opening on June 8th in Glastonbury!,2026-06-05,https://www.theconnecticutscoop.com/all-hartford-county-posts/glastonbury-scoop-shahs-halal-food-opening-on-june-8th-in-glastonbury,2026-06-05
MOHEGAN SUN SCOOP: Tiki Bar returning for another summer at Mohegan Sun!,2026-06-05,https://www.theconnecticutscoop.com/all-new-london-county-posts/mohegan-sun-scoop-tiki-bar-returning-for-another-summer-at-mohegan-sun,2026-06-06
WESTBROOK SCOOP: Da Andrea Pizzeria - Trattoria opening on June 10th in Westbrook!,2026-06-05,https://www.theconnecticutscoop.com/all-middlesex-county-posts/westbrook-scoop-da-andrea-pizzeria-trattoria-opening-on-june-10th-in-westbrook,2026-06-06
SOUTHINGTON SCOOP: Rumi Kebab House opens in Southington,2026-06-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/southington-scoop-rumi-kebab-house-opens-in-southington,2026-06-05
WINDSOR SCOOP: Fun Max Indoor Adventure Park under construction in Windsor!,2026-06-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/windsor-scoop-fun-max-indoor-adventure-park-under-construction-in-windsor,2026-06-05
WESTPORT SCOOP: New French-Vietnamese restaurant coming to Westport,2026-06-04,https://www.theconnecticutscoop.com/all-fairfield-county-posts/westport-scoop-new-french-vietnamese-restaurant-coming-to-westport,2026-06-05
MANCHESTER SCOOP: Medical Clinic could replace Raymour & Flanigan Outlet,2026-06-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-medical-clinic-could-replace-raymour-flanigan-outlet,2026-06-05
WILLIMANTIC SCOOP: Casita De La Picadera coming soon to Willimantic!,2026-06-04,https://www.theconnecticutscoop.com/all-windham-county-posts/willimantic-scoop-casita-de-la-picadera-coming-soon-to-willimantic,2026-06-05
HARTFORD SCOOP: Clubhouse on Pratt planning new entertainment complex in Downtown Hartford,2026-06-03,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-clubhouse-on-pratt-planning-new-entertainment-complex-in-downtown-hartford,2026-06-04
MILFORD SCOOP: Chick Fil A coming to Milford after settlement,2026-06-03,https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-chick-fil-a-coming-to-milford-after-settlement,2026-06-04
NORTH BRANFORD SCOOP: Starbucks to open on June 12th!,2026-06-03,https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-branford-scoop-starbucks-to-open-on-june-12th,2026-06-04
WEST HARTFORD SCOOP: Union Kitchen closing on June 6th,2026-06-03,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-union-kitchen-closing-on-june-6th,2026-06-04
EAST HAMPTON SCOOP: Frida Mexican Cuisine coming soon to Island Coffee Traders space!,2026-06-02,https://www.theconnecticutscoop.com/all-middlesex-county-posts/east-hampton-scoop-frida-mexican-cuisine-coming-soon-to-island-coffee-traders-space,2026-06-02
FARMINGTON SCOOP: Cold Stone Creamery coming to Farmington,2026-06-02,https://www.theconnecticutscoop.com/all-hartford-county-posts/farmington-scoop-cold-stone-creamery-coming-to-farmington,2026-06-04
WATERBURY SCOOP: Demolition work begins on TGI Fridays for new Raising Cane's!,2026-06-02,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-demolition-work-begins-on-tgi-fridays-for-new-raising-canes,2026-06-04
EAST WINDSOR SCOOP: Construction Update on ALDI,2026-06-02,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-windsor-scoop-construction-update-on-aldi,2026-06-04
ENFIELD SCOOP: Birdcode eyeing new location in Enfield!,2026-06-01,https://www.theconnecticutscoop.com/all-hartford-county-posts/enfield-scoop-birdcode-eyeing-new-location-in-enfield,2026-06-01
HARTFORD SCOOP: First look at the new Joey B's Restaurant in Hartford!,2026-06-01,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-first-look-at-the-new-joey-bs-restaurant-in-hartford,2026-06-01
SIMSBURY SCOOP: Tim Horton's NOT coming to Simsbury,2026-05-31,https://www.theconnecticutscoop.com/all-hartford-county-posts/simsbury-scoop-tim-hortons-not-coming-to-simsbury,2026-06-01
NORTH FRANKLIN SCOOP: Meyer's Crazy Hollow Creamery voted Best Ice Cream Shop in New London County!,2026-05-31,https://www.theconnecticutscoop.com/all-new-london-county-posts/north-franklin-scoop-meyers-crazy-hollow-creamery-voted-best-ice-cream-shop-in-new-london-county,2026-06-01
MIDDLETOWN SCOOP: New vegan bakery coming to Middletown,2026-05-31,https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-new-vegan-bakery-coming-to-middletown,2026-06-01
EAST WINDSOR SCOOP: Faro Breakfast House coming soon to East Windsor!,2026-05-31,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-windsor-scoop-faro-breakfast-house-coming-soon-to-east-windsor,2026-06-01
"MANCHESTER SCOOP: New restaurant opens at The Shoppes at Buckland Hills, 2 more coming soon!",2026-05-31,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-new-restaurant-opens-at-the-shoppes-at-buckland-hills-2-more-coming-soon,2026-06-01
LISBON SCOOP: New adventure park planned for former Dick's!,2026-05-30,https://www.theconnecticutscoop.com/all-new-london-county-posts/lisbon-scoop-new-adventure-park-planned-for-former-dicks,2026-05-31
DANBURY SCOOP: Nothing Bundt Cakes opening next to CAVA,2026-05-29,https://www.theconnecticutscoop.com/all-fairfield-county-posts/danbury-scoop-nothing-bundt-cakes-opening-next-to-cava,2026-05-30
BRISTOL SCOOP: New wood-fired pizza shop coming to Bristol!,2026-05-29,https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-new-wood-fired-pizza-shop-coming-to-bristol,2026-05-30
"CLINTON SCOOP: Aldi Supermarket moving forward, PZC meeting on 06/08",2026-05-29,https://www.theconnecticutscoop.com/all-middlesex-county-posts/clinton-scoop-aldi-supermarket-moving-forward-pzc-meeting-on-0608,2026-05-30
ORANGE SCOOP: Genesis Brunch Co coming soon to Orange,2026-05-29,https://www.theconnecticutscoop.com/all-new-haven-county-posts/orange-scoop-genesis-brunch-co-coming-soon-to-orange,2026-05-30
SOUTH WINDSOR SCOOP: Yankee Candle eyeing new location at Evergreen Walk,2026-05-28,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-yankee-candle-eyeing-new-location-at-evergreen-walk,2026-05-29
NORTH HAVEN SCOOP: Umi Buffet plans June 4th opening in North Haven!,2026-05-28,https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-umi-buffet-plans-june-4th-opening-in-north-haven,2026-05-29
ROCKY HILL SCOOP: Amla Cafe opens in Rocky Hill,2026-05-28,https://www.theconnecticutscoop.com/all-hartford-county-posts/rocky-hill-scoop-amla-cafe-opens-in-rocky-hill,2026-05-29
WEST HARTFORD SCOOP: Spitz Mediterranean Street Food opening on June 12th in WeHa!,2026-05-28,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-spitz-mediterranean-street-food-opening-on-june-12th-in-weha,2026-05-29
WATERBURY SCOOP: LensCrafters moving Waterbury location this fall,2026-05-28,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-lenscrafters-moving-waterbury-location-this-fall,2026-05-29
SOUTH WINDSOR SCOOP: Dairy Queen building & mini-golf/batting cage facility listed for sale!,2026-05-27,https://www.theconnecticutscoop.com/all-hartford-county-posts/south-windsor-scoop-dairy-queen-building-mini-golfbatting-cage-facility-listed-for-sale,2026-05-27
MANCHESTER SCOOP: Carlito's Bakery to close this fall,2026-05-27,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-carlitos-bakery-to-close-this-fall,2026-05-27
CHESHIRE SCOOP: New tenants open at The Shops at Stone Bridge,2026-05-27,https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-new-tenants-open-at-the-shops-at-stone-bridge,2026-05-27
WESTPORT SCOOP: Frank Pepe Pizzeria Napoletana opening on June 1st!,2026-05-27,https://www.theconnecticutscoop.com/all-fairfield-county-posts/westport-scoop-frank-pepe-pizzeria-napoletana-opening-on-june-1st,2026-05-27
VERNON SCOOP: Woof Gang Bakery & Grooming eyeing location at Tri-City Plaza,2026-05-27,https://www.theconnecticutscoop.com/all-tolland-county-posts/vernon-scoop-woof-gang-bakery-grooming-eyeing-location-at-tri-city-plaza,2026-05-28
SOUTHBURY SCOOP: Blue Fig Garden sets opening date in Southbury!,2026-05-26,https://www.theconnecticutscoop.com/all-new-haven-county-posts/southbury-scoop-blue-fig-garden-sets-opening-date-in-southbury,2026-05-27
MANCHESTER SCOOP: Dollar Tree starts construction on new store!,2026-05-25,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-dollar-tree-starts-construction-on-new-store,2026-05-26
GRANBY SCOOP: New cat cafe coming soon to Granby,2026-05-25,https://www.theconnecticutscoop.com/all-hartford-county-posts/granby-scoop-new-cat-cafe-coming-soon-to-granby,2026-05-26
NEWINGTON SCOOP: Arby's closes Berlin Turnpike location,2026-05-25,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-scoop-arbys-closes-berlin-turnpike-location,2026-05-26
NORTH HAVEN SCOOP: Josephys on Whitney by Chef Mickey opens!,2026-05-25,https://www.theconnecticutscoop.com/all-new-haven-county-posts/north-haven-scoop-josephys-on-whitney-by-chef-mickey-opens,2026-05-26
NEW HAVEN SCOOP: Muzi's Munchies opens in New Haven,2026-05-25,https://www.theconnecticutscoop.com/all-new-haven-county-posts/new-haven-scoop-muzis-munchies-opens-in-new-haven,2026-05-26
STRATFORD SCOOP: Marianna's Pantry reopens in Stratford!,2026-05-24,https://www.theconnecticutscoop.com/all-fairfield-county-posts/stratford-scoop-mariannas-pantry-reopens-in-stratford,2026-05-25
MOODUS SCOOP: Thena Pita Bar opens!,2026-05-24,https://www.theconnecticutscoop.com/all-middlesex-county-posts/moodus-scoop-thena-pita-bar-opens,2026-05-25
HARTFORD SCOOP: New mixed-use development eyed for former Apple Cinemas building,2026-05-24,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-new-mixed-use-development-eyed-for-former-apple-cinemas-building,2026-05-25
MIDDLETOWN SCOOP: Augusta Street Kitchen to close on June 20th,2026-05-24,https://www.theconnecticutscoop.com/all-middlesex-county-posts/middletown-scoop-augusta-street-kitchen-to-close-on-june-20th,2026-05-25
BRISTOL SCOOP: Mr.P's Frozen Treats coming soon to Bristol!,2026-05-23,https://www.theconnecticutscoop.com/all-hartford-county-posts/bristol-scoop-mrps-frozen-treats-coming-soon-to-bristol,2026-05-24
POMFRET SCOOP: We-Li-Kit Ice Cream named as Best Ice Cream Shop in Windham County!,2026-05-23,https://www.theconnecticutscoop.com/all-windham-county-posts/pomfret-scoop-we-li-kit-ice-cream-named-as-best-ice-cream-shop-in-windham-county,2026-05-24
