state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Louisiana,ABM Healthcare Support SVS Inc.,Shreveport,,05/02/2024,,,Environmental/Janitorial Services,Louisiana,179,03/01/2024,,,,some or all workers may be retained by new vendor
Louisiana,ADT Solar,Mandeville,,2/23/2024-12/31/2024,,,Contractor/Special Trade Contractor,Louisiana,40,02/23/2024,,,,292 affected nationwide
Louisiana,American Queen Steamboat Operating Company LLC,New Orleans,,2/23/2024-12/31/2024,,,"Travel, Recreation, & Leisure (Cruise Line)",Louisiana,63,02/20/2024,,,,508 affected nationwide
Louisiana,Diamond Offshore Auriga Rig,Houma,,3/1/2024-4/30/2024,,,Oil & Gas,Louisiana,176,01/26/2024,,,,
Louisiana,"Lost Boys Interactive, LLC","Madison, WI",,03/15/2024,,,Video Game Developer,Louisiana,1,01/11/2024,,,,125 affected nationwide
Louisiana,ABM Healthcare Support SVS Inc. *Update*,"Jefferson, Algiers, Belle Chase, Kenner, Metairie, New Orleans, Lacomb",,01/31/2024,,,Food Services,Louisiana,56,11/22/2023,,,,
Louisiana,ABM Healthcare Support SVS Inc.,"Shreveport, Monroe",,01/31/2024,,,Food Services,Louisiana,200,11/17/2023,,,,
Louisiana,GEO Secure Services LLC ICE Processing Center,Pine Prairie,,01/02/2024,,,Facility Support Services/Immigrations and Customs Support,Louisiana,119,11/03/2023,,,,rescinded
Louisiana,Ingevity Corporation,DeRidder,,2/5/2024-12/31/2025,,,Chemical Plant,Louisiana,182,11/01/2023,,,,
Louisiana,Teijin Automotive Technologies *Update*,Sarepta,,10/16/2023,,,Automotive Technology Mfg.,Louisiana,79,10/13/2023,,,,
Louisiana,Teijin Automotive Technologies *Update*,Sarepta,,10/02/2023,,,Automotive Technology Mfg.,Louisiana,70,09/28/2023,,,,
Louisiana,Teijin Automotive Technologies,Sarepta,,09/19/2023,,,Automotive Technology Mfg.,Louisiana,73,09/19/2023,,,,
Louisiana,Teijin Automotive Technologies,Sarepta,,09/21/2023,,,Automotive Technology Mfg.,Louisiana,6,09/19/2023,,,,
Louisiana,Aramark Services Inc @ Christus Highland Medical Center,Shreveport,,10/31/2023,,,Food Services,Louisiana,61,09/05/2023,,,,
Louisiana,Aramark Services Inc @ Christus St. Patrick Hospital,Lake Charles,,10/31/2023,,,Food Services,Louisiana,51,09/05/2023,,,,
Louisiana,Aramark Services Inc @ Christus St. Frances Cabrini,Alexandria,,10/31/2023,,,Food Services,Louisiana,79,09/05/2023,,,,
Louisiana,Custom Printed Products,Bossier City,,10/06/2023,,,Printing,Louisiana,,09/05/2023,,,,
Louisiana,Ardagh Glass Inc,Simsboro,,07/17/2023,,,Glass Industry,Louisiana,257,06/29/2023,,,,
Louisiana,Ampacet Corporation,DeRidder,,08/21/2023,,,Plastic Fabrication,Louisiana,65,06/21/2023,,,,
Louisiana,Coastal Cargo Company,New Orleans,,07/07/2023,,,Unload Ships at the Port of New Orleans,Louisiana,135,06/01/2023,,,,
Louisiana,Amentum/NAS JRB,New Orleans,,07/30/2023,,,Aviation Support Equipment Maintenance,Louisiana,26,05/18/2023,,,,
Louisiana,AMETEK/Orion Instruments,Baton Rouge,,09/15/2023,,,Manufacture innovative level controls for process industries,Louisiana,20,04/10/2023,,,,
Louisiana,AMETEK/Orion Instruments,Baton Rouge,,11/15/2023,,,Manufacture innovative level controls for process industries,Louisiana,44,04/10/2023,,,,
Louisiana,AMETEK/Orion Instruments,Baton Rouge,,12/15/2023,,,Manufacture innovative level controls for process industries,Louisiana,9,04/10/2023,,,,
Louisiana,Morrison Healthcare,Baton Rouge,,03/31/2023,,,Food Services,Louisiana,195,03/30/2023,,,,
Louisiana,Magnit Corporation,Baton Rouge,,04/29/2023,,,Business Support Services,Louisiana,207,02/28/2023,,,,
Louisiana,"Chipper - Critical Ideas, Inc.",CA,,02/17/2023,,,Software Development,Louisiana,1,02/16/2023,,,,
Louisiana,"BCH, Inc. dba Wellness Work",Lafayette,,05/11/2023,,,Healthcare,Louisiana,63,02/14/2023,,,,
Louisiana,"ASAP, Inc.",Lafayette,,01/10/2023,,,Delivery Services,Louisiana,89,11/11/2022,,,,
Louisiana,Prime Time Inc. (Head Start),Ouachita Parish,,11/30/2022,,,Child Care Services,Louisiana,98,10/27/2022,,,,
Louisiana,QuarterNorth Energy,Lafayette,,11/30/2022,,,Oil & Gas,Louisiana,135,10/03/2022,,,,
Louisiana,Amentum,New Orleans,,10/15/2022,,,Support Services,Louisiana,25,09/20/2022,,,,
Louisiana,City Park Improvement Association,New Orleans,,10/31/2022,,,Local Government,Louisiana,105,09/13/2022,,,,
Louisiana,Odle Management Group,New Orleans,,08/31/2022,,,Vocational Rehabilitation Services,Louisiana,58,06/24/2022,,,,
