state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Number of Workers,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Notes
Kentucky,"The Western Kentucky Coal Company, LLC Genesis Mine",,,02/24/2020,,,Green River | Ohio | 212111,Kentucky,250,12/26/2019,Closure,,,
Kentucky,PAE Visa Support Services (VSS),,,02/28/2020,,,Cumberlands | Whitley | 561210,Kentucky,425,12/19/2019,Layoff,,,
Kentucky,Webster County Coal Dotiki Mine,,,02/07/2020,,,Green River | Webster | 212112,Kentucky,40,12/09/2019,Closure,,,
Kentucky,MTD Products Inc,,,01/17/2020,,,Lincoln Trail | Grayson | 444220,Kentucky,279,11/19/2019,Closure,,,
Kentucky,"Ebonite International, Inc.",,,01/14/2020,,,Western Kentucky | Christian | 453998,Kentucky,171,11/15/2019,Closure,,,
Kentucky,Bekaert Corporation,,,01/13/2020,,,Kentuckianaworks | Shelby | 331222,Kentucky,100,11/12/2019,Closure,,,
Kentucky,Nally & Hamilton Enterprises Inc Balkan area Mines and Facilities,,,01/01/2020,,,EKCEP | Bell | 212111,Kentucky,97,11/04/2019,Layoff,,,
Kentucky,"Nally & Hamilton Enterprises Inc Bailey's Creek, Cranks Creek & Day Branch Mines",,,01/01/2020,,,EKCEP | Harlan | 212111,Kentucky,38,11/04/2019,Layoff,,,
Kentucky,Nally & Hamilton Enterprise Inc Stinnett Mine,,,01/01/2020,,,EKCEP | Leslie | 212111,Kentucky,21,11/04/2019,Layoff,,,
Kentucky,Nally & Hamilton Enterprises Inc Stinnett Mine -London,,,01/01/2020,,,Cumberlands | Laurel | 212111,Kentucky,9,11/04/2019,Layoff,,,
Kentucky,Nally & Hamilton Enterprise Inc,,,01/01/2020,,,EKCEP | Harlan | 212111,Kentucky,5,11/04/2019,Layoff,,,
Kentucky,AECOM,,,12/29/2019,,,Western Kentucky | Christian | 541310,Kentucky,383,10/29/2019,Layoff,,,
Kentucky,INOAC PACKAGING GROUP INC,,,11/12/2019,,,Lincoln Trail | Nelson | 326160,Kentucky,72,09/12/2019,Layoff,,,
Kentucky,Pennyrile Energy LLC- RiverEdge Mine,,,11/01/2019,,,Green River | McLean | 212112,Kentucky,169,09/05/2019,Closure,,,
Kentucky,AK Steel -Ashland Works,,,11/04/2019,,,TENCO | Boyd | 331222,Kentucky,260,09/03/2019,Closure,,,
Kentucky,BRIGGS & STRATTON CORPORATION,,,09/27/2019,,,Western Kentucky | Calloway | 333112,Kentucky,628,08/22/2019,Closure,,,
Kentucky,FFO Home,,,10/01/2019,,,Kentuckianaworks | Jefferson | 442110,Kentucky,52,08/01/2019,Closure,,,
Kentucky,TMK IPSCO Tubulars (KY),,,09/24/2019,,,Northern Kentucky | Campbell | 425120,Kentucky,159,07/30/2019,Layoff,,,
Kentucky,Red Ventures,,,10/31/2019,,,Bluegrass | Fayette | 524210,Kentucky,94,07/22/2019,Layoff,,,
Kentucky,"Sykes Enterprises, Inc.",,,09/03/2019,,,EKCEP | Perry | 541910,Kentucky,179,07/01/2019,Layoff,,,
Kentucky,"HOLLANDER SLEEP PRODUCTS, LLC",,,08/21/2019,,,South Central | Hart | 337910,Kentucky,208,06/21/2019,Closure,,,
Kentucky,CEVA LOGISTICS US INC,,,08/18/2019,,,Kentuckianaworks | Jefferson | 484121,Kentucky,74,06/19/2019,Closure,,,
Kentucky,Harman International,,,08/02/2019,,,South Central | Simpson | 334310,Kentucky,158,05/30/2019,Closure,,,
Kentucky,Union Underwear Company/ Fruit of The Loom,,,07/22/2019,,,South Central | Warren | 315190,Kentucky,100,05/22/2019,Layoff,,,
Kentucky,Concentrix CVG Corp.- formally Convergys,,,09/30/2019,,,Northern Kentucky | Kenton | 518210,Kentucky,175,05/06/2019,Closure,,,
Kentucky,"New Vista Behavioral Healthcare, Inc",,,06/01/2019,,,Cumberlands | Pulaski | 621999,Kentucky,132,05/01/2019,Layoff,,,
Kentucky,Continuum Global Solutions,,,06/21/2019,,,Bluegrass | Fayette | 488320,Kentucky,117,04/23/2019,Layoff,,,
Kentucky,CSXT-Russell Locomotive Shop,,,04/05/2019,,,TENCO | Greenup | 336510,Kentucky,113,04/05/2019,Closure,,,
Kentucky,FLINT GROUP,,,06/30/2019,,,Lincoln Trail | Hardin | 325130,Kentucky,81,03/27/2019,Layoff,,,
Kentucky,"CONDUENT State & Local Solutions, Inc",,,04/21/2019,,,Cumberlands | Laurel | 58121,Kentucky,97,03/22/2019,Layoff,,,
Kentucky,BrightSpring Health Services\ CAKY of Somerset,,,04/19/2019,,,Cumberlands | Pulaski | 624120,Kentucky,93,03/12/2019,Layoff,,,
Kentucky,BrightSpring Health Services\ Bingham Gardens,,,03/31/2019,,,Kentuckianaworks | Jefferson | 561110,Kentucky,125,03/12/2019,Layoff,,,
Kentucky,Performance Team,,,02/20/2019,,,Kentuckianaworks | Jefferson | 541614,Kentucky,42,02/25/2019,Layoff,,,
Kentucky,Jack Cooper Transport Co. Inc,,,04/21/2019,,,Kentuckianaworks | Jefferson | 484121,Kentucky,425,02/21/2019,Closure,,,
Kentucky,LED VANCE LLC,,,09/27/2019,,,Bluegrass | Woodford | 335110,Kentucky,253,01/25/2019,Closure,,,
Kentucky,"Leggett & Platt, Inc.",,,02/14/2019,,,Bluegrass | Scott County | 337215,Kentucky,146,12/13/2018,Layoff,,,
Kentucky,IQOR Global Service LLC,,,02/11/2019,,,Kentuckiana Works | Jefferson County - Louisville | 54168,Kentucky,128,12/12/2018,Layoff,,,
Kentucky,Piramal Pharma Solutions,,,01/29/2019,,,Bluegrass | Fayette County | 325412,Kentucky,38,11/30/2018,Layoff,,,
Kentucky,Graham Packaging Company-Florence,,,01/25/2019,,,Northern Kentucky | Boone | 326199,Kentucky,57,11/27/2018,Closure,,,
Kentucky,Pomeroy Solutions Sales dba Getronics,,,06/30/2019,,,Northern Kentucky | Boone | 541511,Kentucky,163,10/31/2018,Closure,,,
Kentucky,Mondi Industrial Bags,,,12/31/2018,,,Kentuckiana Works | Jefferson County - Louisville | 322220,Kentucky,100,10/30/2018,Closure,,,
Kentucky,Concentrix CVG Corp.- formally Convergys,,,12/28/2018,,,Northern Kentucky | Kenton County | 518210,Kentucky,258,10/30/2018,Closure,,,
Kentucky,K&T SWITCHING SERVICE -Fern Valley Road,,,12/24/2018,,,Kentuckiana Works | Jefferson County - Louisville | 484121,Kentucky,52,10/26/2018,Layoff,,,
Kentucky,K&T SWITCHING SERVICE -Chamberlain Lane,,,12/24/2018,,,Kentuckiana Works | Jefferson County - Louisville | 484121,Kentucky,38,10/26/2018,Layoff,,,
Kentucky,Murray State University,,,12/14/2018,,,Western Kentucky | Calloway County | 611310,Kentucky,44,10/16/2018,Layoff,,,
Kentucky,Kentucky River Foothills Development Council,,,12/31/2018,,,Bluegrass | Madison County | 813319,Kentucky,142,10/01/2018,Layoff,,,
Kentucky,Gannett Satellite Information Network,,,12/31/2018,,,Kentuckiana Works | Jefferson County - Louisville | 511110,Kentucky,73,09/27/2018,Layoff,,,
Kentucky,dormakaba USA Inc.,,,12/03/2018,,,Bluegrass | Fayette County | 332510,Kentucky,58,09/27/2018,Layoff,,,
Kentucky,Oxford Government Consulting,,,11/23/2018,,,Cumberlands | Rockcastle County | 541611,Kentucky,68,09/27/2018,Layoff,,,
Kentucky,Werner Co.,,,10/09/2019,,,Kentuckiana Works | Jefferson County - Louisville | 331318,Kentucky,118,08/20/2018,Closure,,,
Kentucky,US BANK -Bowling Green,,,09/28/2018,,,South Central | Warren County | 522110,Kentucky,100,07/26/2018,Closure,,,
Kentucky,Taylor & Francis Group LLC,,,09/28/2018,,,Northern Kentucky | Boone | 511199,Kentucky,68,07/18/2018,Closure,,,
Kentucky,WAL-MART Store #1269,,,09/14/2018,,,Kentuckiana Works | Jefferson County - Louisville | 452111,Kentucky,206,07/12/2018,Closure,,,
Kentucky,WAL-MART Store #2060,,,09/14/2018,,,Bluegrass | Fayette County | 452111,Kentucky,203,07/12/2018,Closure,,,
