state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Tennessee,Corsicana Mattress Company,Bedford,4/16/2025,6/13/2025,47,#202400065,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Corsicana-Mattress-Company-TDLWD-WARN-LETTER.pdf
Tennessee,Bunzl Distribution USA Inc.,Shelby,4/4/2025,6/30/2025,106,#202400064,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Bunzl-Distribution-USA-Inc-TDLWD-WARN-LETTER.pdf
Tennessee,Wellpath Healthcare,Davidson,3/31/2025,4/30/2025,64,#202400063,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Wellpath-Healthcare-TDLWD-WARN-LETTER.pdf
Tennessee,SHG Inc,Davidson,3/31/2025,5/5/2025,100,#202400062,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/SHG-Inc-TDLWD-WARN-LETTER.pdf
Tennessee,SSC Services,Hamilton,3/31/2025,5/31/2025,296,#202400061,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/SSC-Services-TDLWD-WARN-LETTER.pdf
Tennessee,FedEx,Wilson,3/31/2025,5/9/2025,217,#202400060,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/FedEx-TDLWD-WARN-LETTER.pdf
Tennessee,"WWL Vehicle Services Americas, Inc.",Rutherford,2/27/2025,4/15/2025,40,#202400059,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/WWL-Vehicle-Services-Americas-Inc-TDLWD-WARN-LETTER.pdf
Tennessee,"Rambo 1, LLC","Paulding and Polk counties, Georgia",2/7/2025,1/31/2025,135 (7 in Tennessee),#202400058,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Rambo-1-LLC-TDLWD-WARN-LETTER.pdf
Tennessee,UPS Athens Facility,McMinn,2/5/2025,1/10/2025,150,#202400057,https://www.tn.gov/content/dam/tn/workforce/documents/contact-02/UPS-Athens-Facility-TDLWD-WARN-LETTER.pdf
Tennessee,Orchid Orthopedic Solutions,Shelby,2/5/2025,6/30/2025,62,#202400056,https://www.tn.gov/content/dam/tn/workforce/documents/contact-02/Orchid-Orthopedic-Solutions-TDLWD-WARN-LETTER.pdf
Tennessee,Federal Express Corporation,Sullivan,2/5/2025,3/31/2025,88,#202400055,https://www.tn.gov/content/dam/tn/workforce/documents/contact-02/Federal-Express-Corporation-TDLWD-WARN-LETTER.pdf
Tennessee,"S&B Engineers and Constructors, Ltd.",Sullivan,2/5/2025,3/28/2025,112,#202400049,https://www.tn.gov/content/dam/tn/workforce/documents/contact-02/S-B-Engineers-and-Constructors-TDLWD-WARN-LETTER.pdf
Tennessee,Modine Manufacturing,Lawrence,2/5/2025,4/1/2025 to 7/31/2025,162,#202400054,https://www.tn.gov/content/dam/tn/workforce/documents/contact-02/Modine-TDLWD-WARN-LETTER.pdf
Tennessee,"Essex Technology Group, LLC dba Bargain Hunt Stores",Davidson,1/23/2025,1/22/2025 to 3/14/2025,294,#202400052,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Essex-Technology-Group-LLC-dba-Bargain-Hunt-Stores-TDLWD-WARN-LETTER.pdf
Tennessee,Perdue Farms,Putnam,1/21/2025,3/28/2025,433,#202400051,https://www.tn.gov/content/dam/tn/workforce/archive/documents/majorpublications/reports-02/Perdue-Farms-TDLWD-WARN-Letter.pdf
