state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,Closure/Layoff,Temporary/Permanent,Union,County,Industry,Notes
Missouri,First Student,"Holden, St. Louis",2025-05-05,2025-06-30 00:00:00,257.0,,Multiple,Missouri,Layoff,,,Jackson,Transportation,"218 affected in St. Louis, 39 affected in Holden"
Missouri,Penske Logistics LLC,Kinloch,2025-04-30,2025-07-15 00:00:00,337.0,,St. Louis,Missouri,Loss of Contract,,,St. Louis,Logistics,
Missouri,Briggs & Stratton - Billy Goat Facilities,Lee's Summit,2025-04-30,2025-07-02 00:00:00,90.0,,Kansas City & vicinity,Missouri,Closing,,,Jackson,Automotive Manufacturing,
Missouri,"SP Plus, LLA, A Metropolis Company",St. Louis,2025-04-29,2025-07-01 00:00:00,130.0,,St. Louis,Missouri,Loss of Contract,,,,Transportation,
Missouri,"Accelerate 360 Distribution, LLC",,2025-04-28,2025-06-28 00:00:00,22.0,,Statewide,Missouri,Layoff,,,,Logistics,
Missouri,Broadridge Financial Solutions,Kansas City,2025-04-22,2025-06-20 00:00:00,72.0,,Kansas City,Missouri,Closing,,,Jackson,Financial Services,
Missouri,Broadridge Financial Services,Kansas City,2025-04-22,2025-06-20 00:00:00,72.0,,Kansas City,Missouri,Closing,,,Jackson,Financial Services,
Missouri,Spectrum Healthcare Resources,St. Louis,2025-04-07,2025-05-29 00:00:00,280.0,,St. Louis,Missouri,Loss of Contract,,,,Healthcare,
Missouri,US Cellular,Various,2025-04-07,2025-06-02 00:00:00,,,,Missouri,Closing,,,,Call Center,
Missouri,Spectrum Healthcare Resources,St. Louis,2025-04-07,2025-05-29 00:00:00,280.0,,St. Louis,Missouri,Loss of Contract,,,,Healthcare,
Missouri,"Block, Inc.",Remote,2025-03-27,2025-05-24 00:00:00,67.0,,,Missouri,Layoff,,,,Software Publisher,
Missouri,Hogan Services,St. Louis,2025-03-25,2025-06-06 00:00:00,53.0,,St. Louis & vicinity,Missouri,Layoff,,,,Logistics / Delivery Services,
Missouri,Sodexo,Jefferson City,2025-03-24,2025-04-30 00:00:00,63.0,,Central,Missouri,Loss of Contract,,,Cole,Food Service,
Missouri,Student Transportation of America,Columbia,2025-03-24,2025-05-29 00:00:00,212.0,,Central,Missouri,Loss of Contract,,,Boone,Transportation,
Missouri,Legacy Pharmaceuticals Solutions,Earth City,2025-02-28,2025-05-04 00:00:00,77.0,,St. Louis & vicinity,Missouri,Closing,,,St. Louis,Manufacturing,
Missouri,International Paper Company,St. Louis,2025-02-13,2025-04-14 00:00:00,72.0,,St. Louis,Missouri,Closing,,,St. Louis,Paper and Allied Products,
Missouri,Jack Cooper,Wentzville,2025-02-11,2025-02-08 00:00:00,239.0,,St. Louis,Missouri,Closing,,,St. Charles,Transportation,
Missouri,True Value Company,Kansas City,2025-02-10,2025-04-08 00:00:00,50.0,,Kansas City,Missouri,Closing,,,Jackson,Hardware Stores,
Missouri,Fontbonne University,St. Louis,2025-02-10,04/01/2025-09/01/2025,80.0,,St. Louis,Missouri,Closing,,,St. Louis,Education,
Missouri,Royal Canin North America,Rolla,2025-02-04,04/18/2025-12/31/2025,105.0,,Southeast,Missouri,Closing,,,Phelps,Food Processing/Manufacturing,85 workers April 18; 20 workers December 31
Missouri,International Institute St. Louis,"St. Louis, Springfield",2025-01-31,2025-02-01 00:00:00,91.0,,,Missouri,Layoff,Temporary,,,,return-to-work date not announced
Missouri,Hollister,Kirksville,2025-01-30,2025-03-31 00:00:00,1.0,,Northeast,Missouri,Closing,,,Adair,Healthcare,
Missouri,Eaton Bussman,Ellisville,2025-01-27,04/30/2025-06/30/2025,57.0,,St. Louis & vicinity,Missouri,Layoff,,,St. Louis,Manufacturing,
Missouri,"Roi CPS, LLC",Republic,2025-01-15,2025-01-15 00:00:00,109.0,,Springfield Area,Missouri,Closing,,,Greene,Supply Chain Management,
Missouri,Jack Cooper,Liberty,2025-01-14,2025-02-02 00:00:00,406.0,,Kansas City & Vicinity,Missouri,Closing,,,Clay,Automotive Manufacturing,
Missouri,The TimKen Company,Springfield,2025-01-07,03/21/2025-09/30/2025,97.0,,Southwest,Missouri,Closing,,,Greene,Manufacturing,
