state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Pennsylvania,International Paper,"533 Forest Road Hazelton, PA  18202",4/14/25,4/14/25,107,Closing,County: Luzerne
Pennsylvania,S&S Activewear,"600 Industrial Drive Lewisberry, PA  17339",4/9/25-10/15/25,4/9/25-10/15/25,218,Closing,County: York
Pennsylvania,"Cargill Cocoa & Chocolate, Inc.","400 Stony Creek Road Hazle Township, PA  18202",5/26/25-5/30/25,5/26/25-5/30/25,102,Closing,County: Luzerne
Pennsylvania,"Church World Service (CWS), Inc.","308 East King Street Lancaster, PA  17602",1/31/25-3/31/25,1/31/25-3/31/25,65,Layoff,County: Lancaster
Pennsylvania,Mulherin’s Pizzeria,"1175 Ludlow Street Philadelphia, PA  19102",4/16/25,4/16/25,39,Closing,County: Philadelphia
Pennsylvania,"Household Metals, Inc.","645 East Erie Avenue Philadelphia, PA  19134",4/28/25,4/28/25,71,Closing,County: Philadelphia
Pennsylvania,"pladis North America, Inc.","11 Main Street Mohnton, PA  19540",5/29/25,5/29/25,55,Closing,County: Berks
Pennsylvania,Custom Glass Solutions,"2175 Kumry Road Trumbauersville, PA  18970",4/30/25,4/30/25,105,Closing,County: Bucks
Pennsylvania,Alpha & Omega Logistics Corporation,"516 North Bethlehem Pike Ambler, PA  19002",1/10/25,1/10/25,110,Closing,County: Montgomery
Pennsylvania,"GXO Warehouse Company, Inc.","336 Heinz Street Mechanicsburg, PA  17055",3/12/25,3/12/25,85,Closing,County: Cumberland
Pennsylvania,"National Distribution Centers, LLC","3419 Ritner Highway Newville, PA  17241",3/8/25,3/8/25,385,Layoff,County: Cumberland
Pennsylvania,Thomas Jefferson University Hospital,"1101 Market Street 23rd Floor Philadelphia, PA  19107",3/10/25,3/10/25,171,Layoff,County: Philadelphia
Pennsylvania,Macy’s Inc.,"1300 Market Street Philadelphia, PA  19107",beginning: 3/18/25; ending: 3/31/25,beginning: 3/18/25; ending: 3/31/25,128,Closing,County: Philadelphia
Pennsylvania,Amazon,"17 William Drive Imperial, PA  15126",3/12/25,3/12/25,432,Layoff,County: Allegheny
Pennsylvania,"CJ Logistics America, LLC","801 Centerville Road, Newville, PA 17241",10/31/26,10/31/26,56,Closure,County: Cumberland
Pennsylvania,Mountain Valley Golf Course,"1021 Brockton Mountain Drive, Barnesville, PA 18214",10/31/26,10/31/26,111,Closure,County: Schuylkill
Pennsylvania,"Eos Energy Storage, LLC","700 Braddock Avenue, Building 700, East Pittsburgh, PA  15112",10/26/26,10/26/26,251,Layoff,County: Allegheny
Pennsylvania,SMBC MANUBANK,Various remote locations throughout the United States,10/9/26,10/9/26,7 – PA Remote Employees,Closure,County: Various
Pennsylvania,"Grede, LLC","18771 Mill Street, Meadville, PA  16335",10/10/26,10/10/26,170,Closure,County: Crawford
Pennsylvania,"Essendant Management Services, LLC","125 Green Tree Road, Phoenixville, PA 19460",10/3/26,10/3/26,150,Closure,County: Chester
Pennsylvania,"Xanitos, Inc.","160 East Erie Avenue, Philadelphia, PA 19134",10/1/26,10/1/26,80,Layoff,County: Philadelphia
Pennsylvania,"Technica, LLC","2001 Mission Drive, New Cumberland, PA  17070",9/30/26,9/30/26,100,Layoff,County: Cumberland
Pennsylvania,"United Natural Foods, Inc. (NFI)","2722 Commerce Way, Philadelphia, PA  19154",10/16/26,10/16/26,48,Closure,County: Philadelphia
Pennsylvania,"CJ Logistics America, LLC","400 Nestle Way, Breinigsville, PA  18031",10/16/26 - 11/20/26,10/16/26 - 11/20/26,57,Closure,County: Lehigh
Pennsylvania,"Stoelzle Glass USA, Inc.","400 9th Street, Monaca, PA  15022",7/25/26 - 2/1/27,7/25/26 - 2/1/27,200,Layoff,County: Beaver
Pennsylvania,"Transform Warehouse Operations, LLC","1 Kresge Road, Fairless Hills, PA 19030",9/16/26,9/16/26,147,Closing,County: Bucks
Pennsylvania,"Pottstown Hospital, LLC.","1600 East High Street, Pottstown, PA  19464",9/28/26,9/28/26,160,Layoff,County: Montgomery
Pennsylvania,"Vestis Services, LLC","1035 Alpharetta Street, Suite 2100, Roswell, GA  30075 (HEADQUARTERS)",6/15/26,6/15/26,5 (within PA),Layoff,County: Various
Pennsylvania,JBS Souderton,"249 Allentown Road, Souderton, PA  18964 741 Souder Road, Souderton, PA 18964",8/14/26,8/14/26,"1,485",Closure,County: Montgomery
Pennsylvania,"WILX Logistics, LLC","1156 Four Star Drive, Mount Joy, PA  17552",8/9/26,8/9/26,70,Closure,County: Lancaster
Pennsylvania,"American Expediting Logistics, LLC","1400 North Providence Road, Suite 410, Media, PA  19063",beginning 6/4/2026; ending 6/30/26,beginning 6/4/2026; ending 6/30/26,86,Closure,County: Delaware
Pennsylvania,Chandler Hall Health Services,"99 Barclay Street, Newtown, PA 18940",8/1/2026,8/1/2026,220,Closure,County: Bucks
Pennsylvania,"Central Admixture Pharmacy Services, Inc.","6580 Snowdrift Road, Allentown, PA  18106 6845 Snowdrift Road, Allentown, PA  18106",9/30/26 - 12/31/26,9/30/26 - 12/31/26,173,Closure,County: Lehigh
Pennsylvania,"Conduent Commercial Solutions, LLC.","100 Campus Drive, Florham Park, NJ  07932 (Corporate Office)",8/28/2026,8/28/2026,9,Permanent Layoff,County: Various (All workers telework from home)
Pennsylvania,Calfrac Well Services Corp.,"2001 Summit View Drive, Smithfield, PA  15478",beginning 7/20/2026; ending 9/30/2027,beginning 7/20/2026; ending 9/30/2027,75,Closure,County: Fayette
Pennsylvania,"GEODIS Logistics, LLC","80 South Middlesex Road, Carlisle, PA  17013",8/31/2026,8/31/2026,185,Closure,County: Cumberland
Pennsylvania,"Bush Industries, Inc.","2455 Robison Road West, Erie, PA  16509",4/30/2026,4/30/2026,51,Closure,County: Erie
Pennsylvania,Dometic,"640 North Lewis Road, Limerick, PA  19468",beginning 9/21/2026; ending 3/31/2027,beginning 9/21/2026; ending 3/31/2027,89,Closure,County: Montgomery
Pennsylvania,"Quality Packaging Specialists International, LLC","355 Independence Avenue, Mechanicsburg, PA  17055",7/6/26,7/6/26,83,Closure,County: Cumberland
Pennsylvania,"Knouse Foods Cooperative, Inc.","421 Grant Street, Chambersburg, PA 17201","beginning 7/6/26, ending 12/31/26","beginning 7/6/26, ending 12/31/26",148,Closure,County: Franklin
Pennsylvania,Juvenile Justice Center of Philadelphia,"100 West Coulter Street, Philadelphia, PA 19144","beginning 4/30/26, ending 6/30/26","beginning 4/30/26, ending 6/30/26",17,Layoff,County: Philadelphia
Pennsylvania,Durham School Services,"4101 North Delaware Avenue, Philadelphia, PA  19137",6/29/26,6/29/26,299,Layoff,County: Philadelphia
Pennsylvania,"Advantest, Inc.","1660 East Race Street, Allentown, PA 18109",6/30/26,6/30/26,55,Layoff,County: Lehigh
Pennsylvania,"Church & Dwight Company, Inc.","5197 Commerce Drive, York, PA  17408",6/30/26,6/30/26,195,Layoff,County: York
Pennsylvania,LNS Chipblaster,"13605 South Mosiertown Road, Meadville, PA  16335",9/30/26,9/30/26,67,Closing,County: Crawford
Pennsylvania,"Bowhead Logistics Management, LLC","1350 Superior Avenue, Building 57, Chambersburg, PA  17201",5/10/26,5/10/26,307,Layoff,County: Franklin
Pennsylvania,Lineage Logistics,"110 Keystone Boulevard, East Pottsville, PA 17901",5/27/26,5/27/26,208,Layoff,County: Schuylkill
