state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Bronx
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,New York
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,New York
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,3,Closure,Queens
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,0,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Bronx
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Queens
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Queens
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Bronx
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Queens
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,1,Closure,Nassau
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,New York
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,3,Closure,Bronx
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Kings
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Queens
New York,"Knight Facilities Management, Inc.",,2026-04-22,2026-04-30,2,Closure,Westchester
New York,Krispy Kreme Doughnut Corporation,,2026-01-27,2026-04-30,52,Layoff,Bronx
New York,Liberty Dental Plan Corporation,,2026-02-05,2026-05-06,2,Layoff,Nassau
New York,Lincoln Hall,,2026-01-06,2026-04-06,123,Closure,Westchester
New York,Lutheran Social Services of New York,,2026-04-01,2026-06-30,20,Closure,Kings
New York,Lutheran Social Services of New York,,2026-04-01,2026-06-30,30,Closure,Kings
New York,Lutheran Social Services of New York,,2026-04-01,2026-06-30,38,Closure,Queens
New York,"Main Street Sports Group, LLC",,2026-02-13,2026-05-14,66,Closure,New York
New York,McKesson,,2026-02-10,2026-05-18,78,Closure,Erie
