state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,State,WARN Received Date,Closure/Layoff,Temporary/Permanent,Union,Region,Industry,Notes
Rhode Island,Providence Mariott,Providence,,2020-08-14 00:00:00,106.0,,,Rhode Island,2020-08-17,Temporary,,,,,COVID-19
Rhode Island,Omni Hotel & Resorts,Providence,,2020-08-06 00:00:00,272.0,,,Rhode Island,2020-08-13,Temporary,,Yes,,,COVID-19
Rhode Island,RHD Rhode Island,Providence,,2020-09-01 00:00:00,73.0,,,Rhode Island,2020-07-30,Closure,,,,,COVID-19
Rhode Island,Twin River - Lincoln,Lincoln,,2020-08-11 00:00:00,1043.0,,,Rhode Island,2020-07-28,Temporary,,Yes,,,COVID-19
Rhode Island,Twin River - Tiverton,Lincoln,,2020-08-11 00:00:00,296.0,,,Rhode Island,2020-07-28,Temporary,,Yes,,,COVID-19
Rhode Island,"McLaughlin & Moran, Inc",Cranston,,2020-08-01 00:00:00,127.0,,,Rhode Island,2020-07-10,Closure,,"Teamster Local Union 251 121 Brightridge Ave. East Providence, RI 02914",,,COVID-19
Rhode Island,Upserve,Providence,,2020-06-30 00:00:00,65.0,,,Rhode Island,2020-06-30,Temporary,,,,,COVID-19
Rhode Island,YMCA of Pawtucket ,Multiple Locations,,2020-05-22 00:00:00,71.0,,,Rhode Island,2020-06-22,Temporary,,,,,COVID-19
Rhode Island,Newport Marriot,Providence,,2020-03-14 00:00:00,65.0,,,Rhode Island,2020-06-03,Temporary,,,,,COVID-19
Rhode Island,The Preservation Society of Newport County,RI,,2020-05-29 00:00:00,231.0,,,Rhode Island,2020-05-29,Temporary,,,,,COVID-19
Rhode Island,Hotel Viking,Newport,,2020-05-07 00:00:00,72.0,,,Rhode Island,2020-04-27,Temporary,,,,,COVID-19
Rhode Island,Bloomin Brands,RI,,2020-03-16 00:00:00,136.0,,,Rhode Island,2020-04-27,Temporary,,,,,COVID-19
Rhode Island,CB Chadwick-BaRoss,West Warwick,,2020-04-20 00:00:00,1.0,,,Rhode Island,2020-04-23,Temporary,,,,,COVID-19
Rhode Island,Eastern Speciality/Check n GO,RI,,2020-04-21 00:00:00,5.0,,,Rhode Island,2020-04-21,Temporary,,,,,COVID-19
Rhode Island,FGX Int,Smithfield,,2020-04-17 00:00:00,13.0,,,Rhode Island,2020-04-17,Temporary,,,,,COVID-19
Rhode Island,Massage Envy,Cranston,,2020-03-16 00:00:00,51.0,,,Rhode Island,2020-04-14,Temporary,,,,,COVID-19
Rhode Island,Moo,Lincoln,,2020-04-06 00:00:00,110.0,,,Rhode Island,2020-04-04,Temporary,,,,,COVID-19
Rhode Island,The Vanderbuilt,Newport,,2020-03-26 00:00:00,37.0,,,Rhode Island,2020-03-27,Temporary,,,,,COVID-19
Rhode Island,HM Host,Warwick,,2020-03-16 00:00:00,110.0,,,Rhode Island,2020-03-23,Temporary,,,,,COVID-19
Rhode Island,Highgate,Providence,,2020-03-08 00:00:00,146.0,,,Rhode Island,2020-03-23,Temporary,,"Local 26 1010 Station Landing, 4th fl Medford Ma, 02155",,,COVID-19
Rhode Island,Greystone,Lincoln,,2020-03-20 00:00:00,87.0,,,Rhode Island,2020-03-20,Temporary,,,,,COVID-19
Rhode Island,Spectrum Pharmaceuticals,Portsmouth,,2019-04-12 00:00:00,1.0,,,Rhode Island,2019-02-14,Closure,,,,,
Rhode Island,Tuition Management Systems,Warwick,,4/1/2019-8/30/2019,59.0,,,Rhode Island,2019-01-21,Closure,,,,,
Rhode Island,"Agoda Travel Operations USA, Inc.",Providence,,2019-03-18 00:00:00,62.0,,,Rhode Island,2019-01-14,Closure,,,,,
Rhode Island,"DAL Global Services, LLC (DGS)",Warwick,,2018-01-31 00:00:00,51.0,,,Rhode Island,2018-11-09,Temporary,,,,,
Rhode Island,Nordstrom Providence Place,Providence,,2019-01-04 00:00:00,181.0,,,Rhode Island,2018-11-01,Closure,,,,,
Rhode Island,"Hooper Holmes, Inc. dba Provant Health",Warwick,,2018-12-31 00:00:00,92.0,,,Rhode Island,2018-11-01,Closure,,,,,
Rhode Island,Matlet/Group,Pawtucket,,2018-10-09 00:00:00,180.0,,,Rhode Island,2018-10-09,Closure,,,,,
Rhode Island,"United Builders Supply Co., Inc.",Westerly,,2018-11-30 00:00:00,83.0,,,Rhode Island,2018-09-20,Closure,,,,,
Rhode Island,Chase Corp dba Neptco,Pawtucket,,2018-08-27 00:00:00,64.0,,,Rhode Island,2018-06-25,Closure,,IBEW Local 1499,,,
Rhode Island,Pinnacle Logistics,North Kingstown,,2018-07-31 00:00:00,149.0,,,Rhode Island,2018-06-01,Closure,,,,,
Rhode Island,Memorial Hospital of Rhode Island,Pawtucket,,2018-01-12 00:00:00,477.0,,,Rhode Island,2017-11-03,Closure,,United Nurses and Allied Professionals Local 5082,,,
Rhode Island,Benny's,Smithfield,,11/30/2017-12/31/2017,171.0,,,Rhode Island,2017-09-12,Closure,,,,,
Rhode Island,Homemade Real Foods,Cumberland,,2016-05-02 00:00:00,187.0,,,Rhode Island,2016-05-06,Closure,,,,,
Rhode Island,First Student,North Scituate,,2016-06-30 00:00:00,20.0,,,Rhode Island,2016-05-05,Closure,,SEIU Local 1199,,,
Rhode Island,Aramark,Smithfield,,2016-06-07 00:00:00,154.0,,,Rhode Island,2016-04-08,Temporary,,,,,
Rhode Island,Optum,Providence,,4/01/2016-4/07/2016,60.0,,,Rhode Island,2016-02-01,Closure,,,,,
Rhode Island,Sam's Club,Warwick,,2016-02-05 00:00:00,131.0,,,Rhode Island,2016-01-15,Closure,,,,,
Rhode Island,Blue Cross Blue Shield of RI,Providence,,1/04/2016-8/1/2017,241.0,,,Rhode Island,2015-11-18,Temporary,,,,,
Rhode Island,"Fresenius Management Services, Inc.",East Providence,,1/11/2016-3/31/2016,,,,Rhode Island,2015-11-12,Closure,,,,,
Rhode Island,"Teespring, Inc.",Providence,,2015-08-24 00:00:00,70.0,,,Rhode Island,2015-06-25,Temporary,,,,,
Rhode Island,"United Airlines, Inc.'s Airport Operations Division",Warwick,,2015-05-17 00:00:00,57.0,,,Rhode Island,2015-03-11,Closure,,"International Assoc. of Machinists and Aerospace Workers, 1771 Commerce Drive, Suite 103 Elkgrove Village, IL 60007",,,
Rhode Island,Honeywell,Cranston,,5/1/2015-6/30/2016,290.0,,,Rhode Island,2015-03-02,Temporary,,,,,
Rhode Island,IntegraMed Inc.,Providence and Middletown,,2014-09-30 00:00:00,5.0,,,Rhode Island,2014-07-30,Temporary,,,,,
Rhode Island,Cox Communications,West Warwick,,2014-08-31 00:00:00,142.0,,,Rhode Island,2014-07-01,Temporary,,,,,
Rhode Island,Sodexo,Smithfield,,2014-05-15 00:00:00,115.0,,,Rhode Island,2014-03-31,Closure,,USAWR 90 Printery St. Providence,,,
Rhode Island,Money Management International,Lincoln,,2014-01-15 00:00:00,49.0,,,Rhode Island,2013-11-18,Closure,,,,,
Rhode Island,Dessert Services Inc.,Warwick,,2013-11-30 00:00:00,1.0,,,Rhode Island,2013-09-30,Closure,,,,,
Rhode Island,"Landauef Metropolitan, Inc.",Warwick,,2013-10-08 00:00:00,66.0,,,Rhode Island,2013-08-16,Temporary,,,,,
Rhode Island,Essential Salon Products Inc.,Cranston,,2013-05-31 00:00:00,3.0,,,Rhode Island,2013-06-13,Closure,,,,,
Rhode Island,Sodexho Inc,Warwick,,2013-07-30 00:00:00,62.0,,,Rhode Island,2013-05-23,Closure,,,,,
Rhode Island,American Suzuki Motor Corporation,Washington County,,2013-03-14 00:00:00,,,,Rhode Island,2013-01-11,Closure,,,,,
Rhode Island,Portola Tech International Inc.,Cumberland,,2012-08-27 00:00:00,51.0,,,Rhode Island,2012-06-27,Closure,,,,,
