state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Processed Date,Layoff/ Closure,Address
California,McDonald's Corporation,Los Angeles County,06/30/2026,09/01/2026,2,,72 Accommodation and Food Services,2026-07-01 00:00:00,Closure Permanent,17030 Green Drive  City of Industry CA 91745
California,"Genentech, Inc.",San Mateo County,06/26/2026,07/29/2026,103,,54 Professional Scientific and Technical Services,2026-07-01 00:00:00,Layoff Permanent,1 DNA Way  South San Francisco CA 94080
California,Athwal FDS Corporation,San Bernardino County,06/30/2026,08/30/2026,35,,56 Administrative and Support and Waste Management and Remediation,2026-07-01 00:00:00,Layoff Permanent,932 West Mill Street  San Bernardino CA 92410
California,Blue Diamond Growers,Sacramento County,07/02/2026,09/04/2026,31,,31-33 Manufacturing,2026-07-02 00:00:00,Closure Permanent,1802 C Street  Sacramento CA 95811
California,"Kingdom Animalia, LLC (Hourglass Cosmetics)",Los Angeles County,07/02/2026,09/15/2026,7,,42 Wholesale Trade,2026-07-02 00:00:00,Closure Permanent,17110 South Main Street  Carson CA 90248
California,DHL Supply Chain,Orange County,07/02/2026,09/03/2026,33,,48-49 Transportation and Warehousing,2026-07-07 00:00:00,Closure Permanent,701A Sally Pl  Fullerton CA 92831
California,Obsidian,Orange County,07/06/2026,09/04/2026,52,,71 Arts Entertainment and Recreation,2026-07-07 00:00:00,Layoff Permanent,100 Spectrum Center Dr.  Irvine CA 92618
California,Chevron,Contra Costa County,07/01/2026,09/01/2026,180,,21 Mining Quarrying Oil and Gas Exraction,2026-07-08 00:00:00,Layoff Permanent,"5001 Executive Parkway, Suite 200  San Ramon CA 94583"
California,LeeMAH Electronics,San Mateo County,07/07/2026,09/08/2026,212,,31-33 Manufacturing,2026-07-08 00:00:00,Closure Permanent,155 South Hill Drive  Brisbane CA 94005
California,Xpress Delivery LLC (DSJ9),Alameda County,07/09/2026,09/09/2026,80,,48-49 Transportation and Warehousing,2026-07-09 00:00:00,Closure Permanent,5800 Coliseum Way  Oakland CA 94621
California,OnPoint Logistics LLC,San Francisco County,07/09/2026,09/07/2026,96,,48-49 Transportation and Warehousing,2026-07-09 00:00:00,Closure Permanent,749 Toland Street  San Francisco CA 94124
California,6th Street Center for Youth (Youth for Change),Butte County,07/10/2026,08/31/2026,6,,62 Healthcare and Social Assistance,2026-07-10 00:00:00,Closure Permanent,130 W. 6th Street  Chico CA 95928
California,Sentinel Restaurant & Hospitality Group LLC,Orange County,07/08/2026,09/08/2026,113,,72 Accommodation and Food Services,2026-07-10 00:00:00,Closure Permanent,627 Sleepy Hollow Ln  Laguna Beach CA 92651
California,The Vons Companies Inc.,Los Angeles County,07/07/2026,09/05/2026,55,,44-45 Retail Trade,2026-07-13 00:00:00,Closure Permanent,845 E. California St.  Pasadena CA 91106
California,GEODIS,San Bernardino County,07/06/2026,09/03/2026,81,,48-49 Transportation and Warehousing,2026-07-13 00:00:00,Closure Permanent,1950 Palmetto Ave.  Redlands CA 92374
