state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,ZIP
Delaware,Quality Built LLC,Fort Lauderdale,07/07/2025,,,WARN,1 - Statewide,33301
Delaware,"Harrington Logistics, LLC",Harrington,03/31/2025,,,WARN,1 - Statewide,19952
Delaware,"Atlas Hospitality Group, LLC",Baltimore,04/30/2026,,,WARN,1 - Statewide,21231
Delaware,Conduent,Florham Park,06/29/2026,,,WARN,1 - Statewide,07932
