state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date
Maryland,Tishcon Corp.,"2410 Zion Road & 818 Brown Street Salisbury, MD 21801",05/04/2026,,,Plant Closure,,325412,Lower Shore,134,07/03/2026-12/18/2026
Maryland,Spirit Airlines,"Baltimore Washington International Thurgood Marshall Airport (BWI) 7050 Friendship Rd., Baltimore, MD 21240",05/04/2026,,,Plant Closure,,481111,Anne Arundel,13,05/02/2026
Maryland,"Gilead Sciences, Inc.","800 King Farm Blvd, Suite 600 Rockville, MD 20850",04/30/2026,,,Mass Layoff - No Recall,,325412,Montgomery County,84,06/30/2026 -04/30/2027
Maryland,CBRE Government & Defense Services,"9000 Rockville Pike, Building 10, Room B D19 Bethesda, MD 20892",04/29/2026,,,Mass Layoff - No Recall,,531210,Montgomery County,174,05/17/2026
Maryland,"Tuerk House, Inc.","2700 Rayner Avenue Baltimore, MD 21216",04/29/2026,,,Plant Closure,,624110,Baltimore City,31,06/30/2026
Maryland,Crothall Healthcare,"100 E. Carroll St Salisbury, MD 21801",04/29/2026,,,"Mass Layoff - No Recall Note: Work performed at the clientâs facility, TidalHealth Peninsula Regional",,561720,Lower Shore,109,07/01/2026
Maryland,Apple Inc.,"825 Dulaney Valley Road Towson, Maryland 21204",04/23/2026,,,Plant Closure 	Note: Store located in Towson Town Center Mall,,443142,Baltimore County,78,06/24/2026
Maryland,"Republic National Distributing Company, LLC","8201 Stayton Drive Jessup, MD 20794",04/23/2026,,,Mass Layoff - No Recall,,424820,Howard County,318,06/21/2026
Maryland,"Trulite Glass & Aluminum Services, LLC","2190 Urbana Pike Ijamsville, MD 21754",04/21/2026,,,Plant Closure,,327215,Frederick,21,06/19/2026
Maryland,Stoney River Steakhouse & Grill,"825 Dulaney Valley Road Towson, MD 21204",04/20/2026,,,Plant Closure,,722511,Baltimore County,68,06/26/2026
