state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Processed Date,Layoff/ Closure,Address
California,McDonald's Corporation,Los Angeles County,06/30/2026,09/01/2026,2,,72 Accommodation and Food Services,2026-07-01 00:00:00,Closure Permanent,17030 Green Drive  City of Industry CA 91745
California,"Genentech, Inc.",San Mateo County,06/26/2026,07/29/2026,103,,54 Professional Scientific and Technical Services,2026-07-01 00:00:00,Layoff Permanent,1 DNA Way  South San Francisco CA 94080
California,Athwal FDS Corporation,San Bernardino County,06/30/2026,08/30/2026,35,,56 Administrative and Support and Waste Management and Remediation,2026-07-01 00:00:00,Layoff Permanent,932 West Mill Street  San Bernardino CA 92410
California,Blue Diamond Growers,Sacramento County,07/02/2026,09/04/2026,31,,31-33 Manufacturing,2026-07-02 00:00:00,Closure Permanent,1802 C Street  Sacramento CA 95811
California,"Kingdom Animalia, LLC (Hourglass Cosmetics)",Los Angeles County,07/02/2026,09/15/2026,7,,42 Wholesale Trade,2026-07-02 00:00:00,Closure Permanent,17110 South Main Street  Carson CA 90248
California,DHL Supply Chain,Orange County,07/02/2026,09/03/2026,33,,48-49 Transportation and Warehousing,2026-07-07 00:00:00,Closure Permanent,701A Sally Pl  Fullerton CA 92831
California,Obsidian,Orange County,07/06/2026,09/04/2026,52,,71 Arts Entertainment and Recreation,2026-07-07 00:00:00,Layoff Permanent,100 Spectrum Center Dr.  Irvine CA 92618
California,Chevron,Contra Costa County,07/01/2026,09/01/2026,180,,42 Wholesale Trade,2026-07-08 00:00:00,Layoff Permanent,"5001 Executive Parkway, Suite 200  San Ramon CA 94583"
California,LeeMAH Electronics,San Mateo County,07/07/2026,09/08/2026,212,,31-33 Manufacturing,2026-07-08 00:00:00,Closure Permanent,155 South Hill Drive  Brisbane CA 94005
